序号, 基金代码, 基金名称, 最新净值日期, 最新净值, 最新回撤, 相对于历史最大回撤,阈值区间,--,区间最大最大回撤, 最大回撤净值, 最大回撤周期,--, 历史最高日期, 历史最高日净值,--,开始日期,截止日期,备注
22,'519181,万家和谐增长混合 (519181),2022-07-25,1.7043,-18.45%,28.36%,,,-65.05%,1.2218 -> 0.4273,2007-10-16 -> 2008-11-04,,2021-09-13,2.089,,2006-11-30,2022-07-25,有历史分红,
23,'001186,富国文体健康股票A (001186),2022-07-25,2.002,-22.7%,42.5%,,,-53.41%,1.204 -> 0.561,2015-06-12 -> 2015-09-15,,2022-01-04,2.59,,2015-05-06,2022-07-25,无历史分红,
24,'001811,中欧明睿新常态混合A (001811),2022-07-25,3.1565,-15.95%,38.89%,,,-41.01%,3.7534 -> 2.2146,2021-11-29 -> 2022-04-26,,2021-11-29,3.7534,,2016-03-03,2022-07-25,有历史分红,
25,'540008,汇丰晋信低碳先锋股票A (540008),2022-07-25,4.1429,-14.05%,20.57%,,,-68.31%,2.7076 -> 0.8592,2015-06-12 -> 2018-10-18,,2021-09-15,4.8206,,2010-06-08,2022-07-25,有历史分红,
26,'001643,汇丰晋信智造先锋股票A (001643),2022-07-25,3.417,-24.37%,57.1%,,,-42.68%,4.5181 -> 2.5896,2021-12-03 -> 2022-04-26,,2021-12-03,4.5181,,2015-09-30,2022-07-25,无历史分红,
27,'001832,易方达瑞恒灵活配置混合 (001832),2022-07-25,2.54,-17.21%,54.12%,,,-31.8%,1.044 -> 0.712,2018-06-12 -> 2018-10-29,,2021-02-10,3.068,,2018-01-10,2022-07-25,无历史分红,
28,'530003,建信优选成长混合A (530003),2022-07-25,2.5214,-25.56%,40.62%,,,-62.92%,2.6345 -> 0.5497,2007-10-16 -> 2008-11-04,,2021-02-10,3.5847,,2006-09-08,2022-07-25,有历史分红,
29,'005827,易方达蓝筹精选混合 (005827),2022-07-25,2.2479,-36.3%,81.41%,80%~,,-44.59%,3.5287 -> 1.9552,2021-02-10 -> 2022-03-15,,2021-02-10,3.5287,,2018-09-05,2022-07-25,无历史分红,
30,'002168,嘉实智能汽车股票 (002168),2022-07-25,3.861,-21.03%,49.46%,,,-42.52%,4.889 -> 2.81,2021-11-29 -> 2022-04-26,,2021-11-29,4.889,,2016-02-04,2022-07-25,无历史分红,
31,'001156,申万菱信新能源汽车混合 (001156),2022-07-25,2.563,-6.47%,17.48%,,,-37.01%,1.138 -> 0.717,2017-11-13 -> 2018-10-18,,2022-07-07,3.158,,2015-05-07,2022-07-25,有历史分红,
