序号, 基金代码, 基金名称, 最新净值日期, 最新净值, 最新回撤, 相对于历史最大回撤,阈值区间,--,成立以来最大回撤, 最大回撤净值, 最大回撤周期,--, 历史最高日期, 历史最高日净值, 备注
11, '000828, 泰达转型机遇股票A (000828), 2022-07-20, 3.476, -14.5%, 23.45%, , , -61.83%, 1.598 -> 0.609, 2015-06-03 -> 2018-10-18, , 2021-10-29, 4.067, 有历史分红, 
12, '000729, 建信中小盘先锋股票A (000729), 2022-07-20, 4.364, -0.41%, 0.77%, , , -53.18%, 2.249 -> 1.053, 2015-06-12 -> 2019-01-03, , 2022-07-05, 4.382, 无历史分红, 
13, '012148, 国投瑞银产业趋势混合A (012148), 2022-07-20, 1.5168, -20.61%, 40.8%, , , -50.52%, 1.9106 -> 0.9454, 2021-09-15 -> 2022-04-26, , 2021-09-15, 1.9106, 无历史分红, 
14, '161725, 招商中证白酒指数(LOF)A (161725), 2022-07-20, 1.1968, -22.55%, 56.01%, , , -40.26%, 1.34 -> 0.8002, 2018-06-12 -> 2018-10-30, , 2021-06-07, 1.6466, 有历史分红, 
15, '002340, 富国价值优势混合 (002340), 2022-07-20, 3.7373, -13.29%, 41.25%, , , -32.22%, 1.499 -> 1.016, 2018-01-23 -> 2019-01-03, , 2021-12-09, 4.3102, 无历史分红, 
16, '014038, 交银启诚混合A (014038), 2022-07-20, 1.0799, -0.0%, 0.0%, , , -12.45%, 1.0217 -> 0.8945, 2022-02-25 -> 2022-04-26, , 2022-07-20, 1.0799, 无历史分红, 
17, '519702, 交银趋势混合A (519702), 2022-07-20, 4.369, -4.28%, 9.48%, , , -45.14%, 2.062 -> 1.131, 2015-06-12 -> 2015-09-15, , 2021-12-31, 4.8537, 有历史分红, 
18, '005001, 交银持续成长主题混合 (005001), 2022-07-20, 2.2315, -3.83%, 15.2%, , , -25.2%, 2.3126 -> 1.7295, 2021-12-31 -> 2022-04-25, , 2022-07-05, 2.3201, 有历史分红, 
19, '001287, 安信优势增长混合A (001287), 2022-07-20, 3.0725, -4.19%, 14.53%, , , -28.83%, 1.6561 -> 1.1784, 2018-01-23 -> 2019-01-03, , 2022-07-04, 3.2069, 有历史分红, 
20, '040015, 华安动态灵活配置混合A (040015), 2022-07-20, 4.966, -7.35%, 18.2%, , , -40.38%, 2.11 -> 1.258, 2015-06-12 -> 2015-09-15, , 2021-11-29, 5.362, 有历史分红, 
21, '519700, 交银主题优选混合A (519700), 2022-07-20, 2.0289, -6.08%, 14.72%, , , -41.31%, 2.193 -> 1.287, 2015-06-12 -> 2015-07-08, , 2022-01-04, 2.1593, 有历史分红, 
22, '519181, 万家和谐增长混合 (519181), 2022-07-20, 1.7561, -15.98%, 24.57%, , , -65.05%, 1.2218 -> 0.4273, 2007-10-16 -> 2008-11-04, , 2021-09-13, 2.089, 有历史分红, 
23, '001186, 富国文体健康股票A (001186), 2022-07-20, 2.029, -21.66%, 40.55%, , , -53.41%, 1.204 -> 0.561, 2015-06-12 -> 2015-09-15, , 2022-01-04, 2.59, 无历史分红, 
24, '001811, 中欧明睿新常态混合A (001811), 2022-07-20, 3.2669, -13.01%, 31.72%, , , -41.01%, 3.7534 -> 2.2146, 2021-11-29 -> 2022-04-26, , 2021-11-29, 3.7534, 有历史分红, 
25, '540008, 汇丰晋信低碳先锋股票A (540008), 2022-07-20, 4.2743, -11.32%, 16.57%, , , -68.31%, 2.7076 -> 0.8592, 2015-06-12 -> 2018-10-18, , 2021-09-15, 4.8206, 有历史分红, 
26, '001832, 易方达瑞恒灵活配置混合 (001832), 2022-07-20, 2.601, -15.22%, 47.86%, , , -31.8%, 1.044 -> 0.712, 2018-06-12 -> 2018-10-29, , 2021-02-10, 3.068, 无历史分红, 
27, '530003, 建信优选成长混合A (530003), 2022-07-20, 2.5314, -25.26%, 40.15%, , , -62.92%, 2.6345 -> 0.5497, 2007-10-16 -> 2008-11-04, , 2021-02-10, 3.5847, 有历史分红, 
28, '005827, 易方达蓝筹精选混合 (005827), 2022-07-20, 2.2742, -35.55%, 79.73%, 70%~, , -44.59%, 3.5287 -> 1.9552, 2021-02-10 -> 2022-03-15, , 2021-02-10, 3.5287, 无历史分红, 
29, '002168, 嘉实智能汽车股票 (002168), 2022-07-20, 3.944, -19.33%, 45.46%, , , -42.52%, 4.889 -> 2.81, 2021-11-29 -> 2022-04-26, , 2021-11-29, 4.889, 无历史分红, 
30, '001156, 申万菱信新能源汽车混合 (001156), 2022-07-20, 2.617, -4.49%, 12.13%, , , -37.01%, 1.138 -> 0.717, 2017-11-13 -> 2018-10-18, , 2022-07-07, 3.158, 有历史分红, 
31, '519002, 华安安信消费混合A (519002), 2022-07-20, 4.719, -9.61%, 17.35%, , , -55.39%, 2.264 -> 1.01, 2015-06-12 -> 2015-09-02, , 2021-12-27, 5.223, 有历史分红, 
32, '166301, 华商新趋势优选灵活配置混合 (166301), 2022-07-20, 8.389, -15.37%, 36.58%, , , -42.02%, 2.877 -> 1.668, 2015-06-12 -> 2016-01-28, , 2021-09-13, 9.912, 无历史分红, 
33, '000991, 工银战略转型股票A (000991), 2022-07-20, 3.881, -4.57%, 8.69%, , , -52.59%, 1.546 -> 0.733, 2015-06-12 -> 2015-07-08, , 2022-01-19, 4.067, 无历史分红, 
34, '002256, 金信行业优选混合发起式 (002256), 2022-07-20, 2.101, -25.89%, 53.08%, , , -48.78%, 2.835 -> 1.452, 2021-11-22 -> 2022-04-26, , 2021-11-22, 2.835, 无历史分红, 
35, '010364, 鹏华空天军工指数(LOF)C (010364), 2022-07-20, 1.2764, -16.34%, 38.04%, , , -42.95%, 1.5257 -> 0.8704, 2021-11-30 -> 2022-04-26, , 2021-11-30, 1.5257, 无历史分红, 
36, '001105, 信澳转型创新股票A (001105), 2022-07-20, 1.195, -16.78%, 26.82%, , , -62.57%, 1.368 -> 0.512, 2015-05-27 -> 2016-01-28, , 2021-02-10, 1.436, 无历史分红, 
37, '513050, 易方达中概互联50ETF (513050), 2022-07-19, 1.0459, -59.2%, 83.81%, 80%~, , -70.64%, 2.5636 -> 0.7526, 2021-02-19 -> 2022-03-15, , 2021-02-19, 2.5636, 无历史分红, 
38, '000248, 汇添富中证主要消费ETF联接A (000248), 2022-07-20, 2.941, -25.07%, 60.61%, 60%~, , -41.36%, 1.336 -> 0.7834, 2015-06-12 -> 2016-01-28, , 2021-02-10, 3.9249, 无历史分红, 
39, '160119, 南方中证500ETF联接A (160119), 2022-07-20, 1.7294, -34.72%, 56.65%, , , -61.29%, 2.6558 -> 1.0251, 2015-06-12 -> 2018-10-18, , 2015-06-12, 2.6558, 有历史分红, 
40, '001717, 工银前沿医疗股票A (001717), 2022-07-20, 3.585, -30.54%, 80.54%, 80%~, , -37.92%, 5.161 -> 3.204, 2021-07-01 -> 2022-04-25, , 2021-07-01, 5.161, 无历史分红, 
41, '005774, 华夏产业升级混合A (005774), 2022-07-20, 2.2158, -11.9%, 27.58%, , , -43.15%, 2.5152 -> 1.43, 2021-11-30 -> 2022-04-26, , 2021-11-30, 2.5152, 无历史分红, 
42, '007475, 华夏创成长ETF联接C (007475), 2022-07-20, 2.2392, -20.6%, 49.94%, , , -41.25%, 2.8201 -> 1.6567, 2021-11-29 -> 2022-04-26, , 2021-11-29, 2.8201, 无历史分红, 
43, '720001, 财通价值动量混合 (720001), 2022-07-20, 5.287, -11.96%, 22.16%, , , -53.96%, 3.467 -> 1.31, 2015-06-03 -> 2018-10-11, , 2021-09-15, 6.004, 有历史分红, 
44, '005094, 万家臻选混合 (005094), 2022-07-20, 2.717, -10.81%, 36.81%, , , -29.37%, 1.0623 -> 0.7503, 2018-04-02 -> 2018-10-18, , 2022-01-04, 3.0462, 无历史分红, 
45, '001404, 招商移动互联网产业股票基金A (001404), 2022-07-20, 1.4127, -26.77%, 55.15%, , , -48.54%, 1.129 -> 0.581, 2015-12-22 -> 2019-01-03, , 2021-07-30, 1.929, 无历史分红, 
46, '013339, 创金合信芯片产业股票发起A (013339), 2022-07-20, 0.8594, -27.08%, 60.39%, 60%~, , -44.84%, 1.1785 -> 0.6501, 2021-11-25 -> 2022-04-26, , 2021-11-25, 1.1785, 无历史分红, 
47, '290011, 泰信中小盘精选混合 (290011), 2022-07-20, 3.832, -27.66%, 46.76%, , , -59.15%, 3.263 -> 1.248, 2015-06-12 -> 2019-01-03, , 2021-07-29, 5.298, 有历史分红, 
48, '519674, 银河创新成长混合A (519674), 2022-07-20, 5.8189, -37.61%, 75.02%, 70%~, , -50.13%, 3.5772 -> 1.7838, 2015-06-03 -> 2015-09-15, , 2021-07-30, 9.3262, 无历史分红, 
49, '008281, 国泰CES半导体芯片行业ETF联接A (008281), 2022-07-20, 1.438, -36.46%, 79.82%, 70%~, , -45.68%, 2.2632 -> 1.2294, 2021-07-30 -> 2022-04-26, , 2021-07-30, 2.2632, 无历史分红, 
50, '008121, 万家自主创新混合C (008121), 2022-07-20, 1.0572, -40.6%, 86.99%, 80%~, , -46.67%, 1.7797 -> 0.9491, 2021-07-30 -> 2022-04-26, , 2021-07-30, 1.7797, 无历史分红, 
