基金代码, 基金名称, 最新净值日期, 最新净值, 最新回撤, 相对于历史最大回撤,阈值区间,--,成立以来最大回撤, 最大回撤净值, 最大回撤周期,--, 历史最高日期, 历史最高日净值,备注
'002340, 富国价值优势混合 (002340), 2022-07-12, 3.7193, -13.71%, 42.55%, , , -32.22%, 1.499 -> 1.016, 2018-01-23 -> 2019-01-03, , 2021-12-09, 4.3102, false
'014038, 交银启诚混合A (014038), 2022-07-12, 1.0411, -1.95%, 15.66%, , , -12.45%, 1.0217 -> 0.8945, 2022-02-25 -> 2022-04-26, , 2022-07-04, 1.0618, false
'519702, 交银趋势混合A (519702), 2022-07-12, 4.2394, -0.0%, 0.0%, , , -45.14%, 2.062 -> 1.131, 2015-06-12 -> 2015-09-15, , 2021-12-31, 4.8537, true
'005001, 交银持续成长主题混合 (005001), 2022-07-12, 2.1949, -0.0%, 0.0%, , , -25.21%, 2.3126 -> 1.7295, 2021-12-31 -> 2022-04-25, , 2022-07-05, 2.3201, true
'001287, 安信优势增长混合A (001287), 2022-07-12, 3.0581, -4.65%, 16.14%, , , -28.81%, 1.6561 -> 1.1784, 2018-01-23 -> 2019-01-03, , 2022-07-04, 3.2069, true
'040015, 华安动态灵活配置混合A (040015), 2022-07-12, 4.927, -8.08%, 20.0%, , , -40.39%, 2.11 -> 1.258, 2015-06-12 -> 2015-09-15, , 2021-11-29, 5.362, true
'519700, 交银主题优选混合A (519700), 2022-07-12, 2.0428, -5.43%, 13.14%, , , -41.32%, 2.193 -> 1.287, 2015-06-12 -> 2015-07-08, , 2022-01-04, 2.1593, true
'519181, 万家和谐增长混合 (519181), 2022-07-12, 1.7697, -15.32%, 23.56%, , , -65.03%, 1.2218 -> 0.4273, 2007-10-16 -> 2008-11-04, , 2021-09-13, 2.089, true
'001186, 富国文体健康股票A (001186), 2022-07-12, 2.013, -22.28%, 41.72%, , , -53.41%, 1.204 -> 0.561, 2015-06-12 -> 2015-09-15, , 2022-01-04, 2.59, false
'001811, 中欧明睿新常态混合A (001811), 2022-07-12, 3.2158, -14.37%, 35.04%, , , -41.01%, 3.7534 -> 2.2146, 2021-11-29 -> 2022-04-26, , 2021-11-29, 3.7534, true
'540008, 汇丰晋信低碳先锋股票A (540008), 2022-07-12, 4.1705, -13.48%, 19.73%, , , -68.31%, 2.7076 -> 0.8592, 2015-06-12 -> 2018-10-18, , 2021-09-15, 4.8206, true
'001832, 易方达瑞恒灵活配置混合 (001832), 2022-07-12, 2.566, -16.36%, 51.45%, , , -31.8%, 1.044 -> 0.712, 2018-06-12 -> 2018-10-29, , 2021-02-10, 3.068, false
'530003, 建信优选成长混合A (530003), 2022-07-12, 2.5519, -24.65%, 39.18%, , , -62.92%, 2.6345 -> 0.5497, 2007-10-16 -> 2008-11-04, , 2021-02-10, 3.5847, true
'005827, 易方达蓝筹精选混合 (005827), 2022-07-12, 2.265, -35.81%, 80.31%, , , -44.59%, 3.5287 -> 1.9552, 2021-02-10 -> 2022-03-15, , 2021-02-10, 3.5287, false
'002168, 嘉实智能汽车股票 (002168), 2022-07-12, 3.91, -20.02%, 47.08%, , , -42.52%, 4.889 -> 2.81, 2021-11-29 -> 2022-04-26, , 2021-11-29, 4.889, false
'001156, 申万菱信新能源汽车混合 (001156), 2022-07-12, 2.944, -6.78%, 18.33%, , , -36.99%, 1.138 -> 0.717, 2017-11-13 -> 2018-10-18, , 2022-07-07, 3.158, true
'012079, 信澳新能源精选混合 (012079), 2022-07-12, 1.6396, -8.52%, 19.05%, , , -44.72%, 1.7725 -> 0.9799, 2021-08-31 -> 2022-04-26, , 2022-07-07, 1.7924, false
'519002, 华安安信消费混合A (519002), 2022-07-12, 4.676, -10.44%, 18.85%, , , -55.39%, 2.264 -> 1.01, 2015-06-12 -> 2015-09-02, , 2021-12-27, 5.223, true
'166301, 华商新趋势优选灵活配置混合 (166301), 2022-07-12, 8.171, -17.56%, 41.79%, , , -42.02%, 2.877 -> 1.668, 2015-06-12 -> 2016-01-28, , 2021-09-13, 9.912, false
'000991, 工银战略转型股票A (000991), 2022-07-12, 3.925, -3.49%, 6.64%, , , -52.59%, 1.546 -> 0.733, 2015-06-12 -> 2015-07-08, , 2022-01-19, 4.067, false
'005774, 华夏产业升级混合A (005774), 2022-07-12, 2.1552, -14.31%, 33.16%, , , -43.15%, 2.5152 -> 1.43, 2021-11-30 -> 2022-04-26, , 2021-11-30, 2.5152, false
