序号, 基金代码, 基金名称, 最新净值日期, 最新净值, 最新回撤, 相对于历史最大回撤,阈值区间,--,成立以来最大回撤, 最大回撤净值, 最大回撤周期,--, 历史最高日期, 历史最高日净值, 备注
1,'006567,中泰星元灵活配置混合A (006567),2022-07-22,2.3332,-6.6%,40.57%,,,-16.00%,1.2971 -> 1.0861,2020-01-13 -> 2020-03-23,,2022-04-08,2.4982,无历史分红,
2,'006624,中泰玉衡价值优选混合A (006624),2022-07-22,2.0716,-6.18%,36.08%,,,-16.00%,1.1112 -> 0.9208,2020-01-13 -> 2020-03-23,,2022-04-08,2.2081,无历史分红,
3,'003834,华夏能源革新股票A (003834),2022-07-22,3.752,-12.95%,32.33%,,,-40.05%,1.226 -> 0.735,2017-09-11 -> 2018-10-16,,2021-09-15,4.31,无历史分红,
4,'011229,创金合信数字经济主题股票A (011229),2022-07-22,1.5403,-8.37%,31.4%,,,-26.66%,1.681 -> 1.2329,2021-12-31 -> 2022-04-26,,2021-12-31,1.681,无历史分红,
5,'162202,泰达宏利周期混合 (162202),2022-07-22,4.0612,-2.7%,5.15%,,,-52.4%,2.1251 -> 0.5731,2007-10-16 -> 2008-11-04,,2022-07-07,4.1738,有历史分红,
6,'001856,易方达环保主题混合 (001856),2022-07-22,4.469,-4.02%,10.96%,,,-36.69%,4.609 -> 2.918,2021-10-27 -> 2022-04-26,,2022-07-07,4.656,无历史分红,
7,'001300,大成睿景灵活配置混合A (001300),2022-07-22,2.337,-12.01%,25.18%,,,-47.7%,1.0 -> 0.523,2015-05-26 -> 2018-10-18,,2021-12-31,2.656,无历史分红,
8,'001907,国投瑞银境煊灵活配置混合A (001907),2022-07-22,3.3068,-4.51%,18.59%,,,-24.26%,3.4629 -> 2.6229,2022-01-04 -> 2022-04-26,,2022-01-04,3.4629,无历史分红,
9,'012079,信澳新能源精选混合 (012079),2022-07-22,1.5763,-12.06%,26.97%,,,-44.72%,1.7725 -> 0.9799,2021-08-31 -> 2022-04-26,,2022-07-07,1.7924,无历史分红,
10,'004475,华泰柏瑞富利混合A (004475),2022-07-22,1.7732,-1.55%,4.44%,,,-34.94%,1.0847 -> 0.7057,2018-01-26 -> 2019-01-02,,2022-06-28,1.8012,无历史分红,
11,'000828,泰达转型机遇股票A (000828),2022-07-22,3.376,-16.96%,27.43%,,,-61.83%,1.598 -> 0.609,2015-06-03 -> 2018-10-18,,2021-10-29,4.067,有历史分红,
12,'000729,建信中小盘先锋股票A (000729),2022-07-22,4.278,-2.37%,4.46%,,,-53.18%,2.249 -> 1.053,2015-06-12 -> 2019-01-03,,2022-07-05,4.382,无历史分红,
13,'012148,国投瑞银产业趋势混合A (012148),2022-07-22,1.4657,-23.29%,46.1%,,,-50.52%,1.9106 -> 0.9454,2021-09-15 -> 2022-04-26,,2021-09-15,1.9106,无历史分红,
14,'161725,招商中证白酒指数(LOF)A (161725),2022-07-22,1.1816,-23.53%,58.45%,,,-40.26%,1.34 -> 0.8002,2018-06-12 -> 2018-10-30,,2021-06-07,1.6466,有历史分红,
15,'002340,富国价值优势混合 (002340),2022-07-22,3.6886,-14.42%,44.75%,,,-32.22%,1.499 -> 1.016,2018-01-23 -> 2019-01-03,,2021-12-09,4.3102,无历史分红,
16,'014038,交银启诚混合A (014038),2022-07-22,1.0712,-0.81%,6.51%,,,-12.45%,1.0217 -> 0.8945,2022-02-25 -> 2022-04-26,,2022-07-20,1.0799,无历史分红,
17,'519702,交银趋势混合A (519702),2022-07-22,4.3277,-5.19%,11.5%,,,-45.14%,2.062 -> 1.131,2015-06-12 -> 2015-09-15,,2021-12-31,4.8537,有历史分红,
18,'005001,交银持续成长主题混合 (005001),2022-07-22,2.2165,-4.47%,17.74%,,,-25.2%,2.3126 -> 1.7295,2021-12-31 -> 2022-04-25,,2022-07-05,2.3201,有历史分红,
19,'001287,安信优势增长混合A (001287),2022-07-22,3.0418,-5.15%,17.86%,,,-28.83%,1.6561 -> 1.1784,2018-01-23 -> 2019-01-03,,2022-07-04,3.2069,有历史分红,
20,'040015,华安动态灵活配置混合A (040015),2022-07-22,4.889,-8.79%,21.77%,,,-40.38%,2.11 -> 1.258,2015-06-12 -> 2015-09-15,,2021-11-29,5.362,有历史分红,
21,'519700,交银主题优选混合A (519700),2022-07-22,2.0198,-6.51%,15.76%,,,-41.31%,2.193 -> 1.287,2015-06-12 -> 2015-07-08,,2022-01-04,2.1593,有历史分红,
22,'519181,万家和谐增长混合 (519181),2022-07-22,1.7059,-18.38%,28.26%,,,-65.05%,1.2218 -> 0.4273,2007-10-16 -> 2008-11-04,,2021-09-13,2.089,有历史分红,
23,'001186,富国文体健康股票A (001186),2022-07-22,2.018,-22.08%,41.34%,,,-53.41%,1.204 -> 0.561,2015-06-12 -> 2015-09-15,,2022-01-04,2.59,无历史分红,
24,'001811,中欧明睿新常态混合A (001811),2022-07-22,3.2204,-14.26%,34.77%,,,-41.01%,3.7534 -> 2.2146,2021-11-29 -> 2022-04-26,,2021-11-29,3.7534,有历史分红,
25,'540008,汇丰晋信低碳先锋股票A (540008),2022-07-22,4.1857,-13.17%,19.28%,,,-68.31%,2.7076 -> 0.8592,2015-06-12 -> 2018-10-18,,2021-09-15,4.8206,有历史分红,
26,'001643,汇丰晋信智造先锋股票A (001643),2022-07-22,3.4528,-23.58%,55.25%,,,-42.68%,4.5181 -> 2.5896,2021-12-03 -> 2022-04-26,,2021-12-03,4.5181,无历史分红,
27,'001832,易方达瑞恒灵活配置混合 (001832),2022-07-22,2.526,-17.67%,55.57%,,,-31.8%,1.044 -> 0.712,2018-06-12 -> 2018-10-29,,2021-02-10,3.068,无历史分红,
28,'530003,建信优选成长混合A (530003),2022-07-22,2.4997,-26.2%,41.64%,,,-62.92%,2.6345 -> 0.5497,2007-10-16 -> 2008-11-04,,2021-02-10,3.5847,有历史分红,
29,'005827,易方达蓝筹精选混合 (005827),2022-07-22,2.2499,-36.24%,81.27%,80%~,,-44.59%,3.5287 -> 1.9552,2021-02-10 -> 2022-03-15,,2021-02-10,3.5287,无历史分红,
30,'002168,嘉实智能汽车股票 (002168),2022-07-22,3.907,-20.09%,47.25%,,,-42.52%,4.889 -> 2.81,2021-11-29 -> 2022-04-26,,2021-11-29,4.889,无历史分红,
31,'001156,申万菱信新能源汽车混合 (001156),2022-07-22,2.607,-4.86%,13.13%,,,-37.01%,1.138 -> 0.717,2017-11-13 -> 2018-10-18,,2022-07-07,3.158,有历史分红,
32,'519002,华安安信消费混合A (519002),2022-07-22,4.641,-11.11%,20.06%,,,-55.39%,2.264 -> 1.01,2015-06-12 -> 2015-09-02,,2021-12-27,5.223,有历史分红,
33,'166301,华商新趋势优选灵活配置混合 (166301),2022-07-22,8.287,-16.39%,39.01%,,,-42.02%,2.877 -> 1.668,2015-06-12 -> 2016-01-28,,2021-09-13,9.912,无历史分红,
34,'000991,工银战略转型股票A (000991),2022-07-22,3.803,-6.49%,12.34%,,,-52.59%,1.546 -> 0.733,2015-06-12 -> 2015-07-08,,2022-01-19,4.067,无历史分红,
35,'002256,金信行业优选混合发起式 (002256),2022-07-22,2.108,-25.64%,52.56%,,,-48.78%,2.835 -> 1.452,2021-11-22 -> 2022-04-26,,2021-11-22,2.835,无历史分红,
36,'010364,鹏华空天军工指数(LOF)C (010364),2022-07-22,1.2504,-18.04%,42.0%,,,-42.95%,1.5257 -> 0.8704,2021-11-30 -> 2022-04-26,,2021-11-30,1.5257,无历史分红,
37,'001105,信澳转型创新股票A (001105),2022-07-22,1.181,-17.76%,28.38%,,,-62.57%,1.368 -> 0.512,2015-05-27 -> 2016-01-28,,2021-02-10,1.436,无历史分红,
38,'513050,易方达中概互联50ETF (513050),2022-07-21,1.0617,-58.59%,82.94%,80%~,,-70.64%,2.5636 -> 0.7526,2021-02-19 -> 2022-03-15,,2021-02-19,2.5636,无历史分红,
39,'000248,汇添富中证主要消费ETF联接A (000248),2022-07-22,2.9041,-26.01%,62.89%,60%~,,-41.36%,1.336 -> 0.7834,2015-06-12 -> 2016-01-28,,2021-02-10,3.9249,无历史分红,
40,'160119,南方中证500ETF联接A (160119),2022-07-22,1.6987,-35.88%,58.54%,,,-61.29%,2.6558 -> 1.0251,2015-06-12 -> 2018-10-18,,2015-06-12,2.6558,有历史分红,
41,'001717,工银前沿医疗股票A (001717),2022-07-22,3.52,-31.8%,83.86%,80%~,,-37.92%,5.161 -> 3.204,2021-07-01 -> 2022-04-25,,2021-07-01,5.161,无历史分红,
42,'005774,华夏产业升级混合A (005774),2022-07-22,2.1883,-13.0%,30.13%,,,-43.15%,2.5152 -> 1.43,2021-11-30 -> 2022-04-26,,2021-11-30,2.5152,无历史分红,
43,'007475,华夏创成长ETF联接C (007475),2022-07-22,2.2241,-21.13%,51.22%,,,-41.25%,2.8201 -> 1.6567,2021-11-29 -> 2022-04-26,,2021-11-29,2.8201,无历史分红,
44,'720001,财通价值动量混合 (720001),2022-07-22,5.191,-13.56%,25.13%,,,-53.96%,3.467 -> 1.31,2015-06-03 -> 2018-10-11,,2021-09-15,6.004,有历史分红,
45,'005094,万家臻选混合 (005094),2022-07-22,2.6418,-13.28%,45.22%,,,-29.37%,1.0623 -> 0.7503,2018-04-02 -> 2018-10-18,,2022-01-04,3.0462,无历史分红,
46,'001404,招商移动互联网产业股票基金A (001404),2022-07-22,1.4444,-25.12%,51.75%,,,-48.54%,1.129 -> 0.581,2015-12-22 -> 2019-01-03,,2021-07-30,1.929,无历史分红,
47,'013339,创金合信芯片产业股票发起A (013339),2022-07-22,0.8683,-26.32%,58.7%,,,-44.84%,1.1785 -> 0.6501,2021-11-25 -> 2022-04-26,,2021-11-25,1.1785,无历史分红,
48,'290011,泰信中小盘精选混合 (290011),2022-07-22,3.883,-26.7%,45.14%,,,-59.15%,3.263 -> 1.248,2015-06-12 -> 2019-01-03,,2021-07-29,5.298,有历史分红,
49,'519674,银河创新成长混合A (519674),2022-07-22,5.8353,-37.43%,74.67%,70%~,,-50.13%,3.5772 -> 1.7838,2015-06-03 -> 2015-09-15,,2021-07-30,9.3262,无历史分红,
50,'008281,国泰CES半导体芯片行业ETF联接A (008281),2022-07-22,1.4506,-35.9%,78.59%,70%~,,-45.68%,2.2632 -> 1.2294,2021-07-30 -> 2022-04-26,,2021-07-30,2.2632,无历史分红,
51,'008121,万家自主创新混合C (008121),2022-07-22,1.0658,-40.11%,85.94%,80%~,,-46.67%,1.7797 -> 0.9491,2021-07-30 -> 2022-04-26,,2021-07-30,1.7797,无历史分红,
52,'001366,金鹰产业整合混合 (001366),2022-07-22,1.6491,-21.06%,43.7%,,,-48.19%,1.023 -> 0.53,2015-12-22 -> 2019-01-03,,2021-12-14,2.089,无历史分红,
53,'000547,建信健康民生混合A(000547),2022-07-22,6.352,-9.24%,22.96%,,,-40.24%,2.465 -> 1.473,2015-06-12 -> 2015-07-08,,2021-11-22,6.999,无历史分红,
