基金代码, 基金名称, 最新净值日期, 最新净值, 最新回撤, 相对于历史最大回撤,阈值区间,--,成立以来最大回撤, 最大回撤净值, 最大回撤周期,--, 历史最高日期, 历史最高日净值, 备注
'001832, 易方达瑞恒灵活配置混合 (001832), 2022-07-13, 2.56, -16.56%, 52.08%, , , -31.8%, 1.044 -> 0.712, 2018-06-12 -> 2018-10-29, , 2021-02-10, 3.068, false
'530003, 建信优选成长混合A (530003), 2022-07-13, 2.5626, -24.33%, 38.67%, , , -62.92%, 2.6345 -> 0.5497, 2007-10-16 -> 2008-11-04, , 2021-02-10, 3.5847, true
'005827, 易方达蓝筹精选混合 (005827), 2022-07-13, 2.2627, -35.88%, 80.47%, 80%~, , -44.59%, 3.5287 -> 1.9552, 2021-02-10 -> 2022-03-15, , 2021-02-10, 3.5287, false
'002168, 嘉实智能汽车股票 (002168), 2022-07-13, 3.978, -18.63%, 43.81%, , , -42.52%, 4.889 -> 2.81, 2021-11-29 -> 2022-04-26, , 2021-11-29, 4.889, false
'001156, 申万菱信新能源汽车混合 (001156), 2022-07-13, 3.01, -4.7%, 12.7%, , , -37.0%, 1.138 -> 0.717, 2017-11-13 -> 2018-10-18, , 2022-07-07, 3.158, true
'012079, 信澳新能源精选混合 (012079), 2022-07-13, 1.6476, -8.08%, 18.07%, , , -44.72%, 1.7725 -> 0.9799, 2021-08-31 -> 2022-04-26, , 2022-07-07, 1.7924, false
'519002, 华安安信消费混合A (519002), 2022-07-13, 4.697, -10.03%, 18.11%, , , -55.39%, 2.264 -> 1.01, 2015-06-12 -> 2015-09-02, , 2021-12-27, 5.223, true
'166301, 华商新趋势优选灵活配置混合 (166301), 2022-07-13, 8.165, -17.63%, 41.96%, , , -42.02%, 2.877 -> 1.668, 2015-06-12 -> 2016-01-28, , 2021-09-13, 9.912, false
'000991, 工银战略转型股票A (000991), 2022-07-13, 3.913, -3.79%, 7.21%, , , -52.59%, 1.546 -> 0.733, 2015-06-12 -> 2015-07-08, , 2022-01-19, 4.067, false
'005774, 华夏产业升级混合A (005774), 2022-07-13, 2.1273, -15.42%, 35.74%, , , -43.15%, 2.5152 -> 1.43, 2021-11-30 -> 2022-04-26, , 2021-11-30, 2.5152, false


阈值变化提醒：
基金代码, 基金名称, 最新净值, 最新回撤, 相对于历史最大回撤,昨日阈值区间,今日阈值区间
'005827, 易方达蓝筹精选混合 (005827), 2.2627, -35.88%, 80.47%, , 80%~, 
