序号, 基金代码, 基金名称, 最新净值日期, 最新净值, 最新回撤, 相对于历史最大回撤,阈值区间,--,成立以来最大回撤, 最大回撤净值, 最大回撤周期,--, 历史最高日期, 历史最高日净值, 备注
14, '161725, 招商中证白酒指数(LOF)A (161725), 2022-07-18, 1.1873, -23.17%, 57.55%, , , -40.26%, 1.34 -> 0.8002, 2018-06-12 -> 2018-10-30, , 2021-06-07, 1.6466, 有历史分红, 
15, '002340, 富国价值优势混合 (002340), 2022-07-18, 3.7226, -13.63%, 42.3%, , , -32.22%, 1.499 -> 1.016, 2018-01-23 -> 2019-01-03, , 2021-12-09, 4.3102, 无历史分红, 
16, '014038, 交银启诚混合A (014038), 2022-07-18, 1.0541, -0.73%, 5.86%, , , -12.45%, 1.0217 -> 0.8945, 2022-02-25 -> 2022-04-26, , 2022-07-04, 1.0618, 无历史分红, 
17, '519702, 交银趋势混合A (519702), 2022-07-18, 4.2612, -6.64%, 14.71%, , , -45.14%, 2.062 -> 1.131, 2015-06-12 -> 2015-09-15, , 2021-12-31, 4.8537, 有历史分红, 
18, '005001, 交银持续成长主题混合 (005001), 2022-07-18, 2.2288, -3.94%, 15.63%, , , -25.2%, 2.3126 -> 1.7295, 2021-12-31 -> 2022-04-25, , 2022-07-05, 2.3201, 有历史分红, 
19, '001287, 安信优势增长混合A (001287), 2022-07-18, 3.0814, -3.91%, 13.56%, , , -28.83%, 1.6561 -> 1.1784, 2018-01-23 -> 2019-01-03, , 2022-07-04, 3.2069, 有历史分红, 
20, '040015, 华安动态灵活配置混合A (040015), 2022-07-18, 4.916, -8.29%, 20.53%, , , -40.38%, 2.11 -> 1.258, 2015-06-12 -> 2015-09-15, , 2021-11-29, 5.362, 有历史分红, 
21, '519700, 交银主题优选混合A (519700), 2022-07-18, 2.0181, -6.58%, 15.93%, , , -41.31%, 2.193 -> 1.287, 2015-06-12 -> 2015-07-08, , 2022-01-04, 2.1593, 有历史分红, 
22, '519181, 万家和谐增长混合 (519181), 2022-07-18, 1.7314, -17.16%, 26.38%, , , -65.05%, 1.2218 -> 0.4273, 2007-10-16 -> 2008-11-04, , 2021-09-13, 2.089, 有历史分红, 
23, '001186, 富国文体健康股票A (001186), 2022-07-18, 2.001, -22.74%, 42.58%, , , -53.41%, 1.204 -> 0.561, 2015-06-12 -> 2015-09-15, , 2022-01-04, 2.59, 无历史分红, 
24, '001811, 中欧明睿新常态混合A (001811), 2022-07-18, 3.3462, -10.9%, 26.58%, , , -41.01%, 3.7534 -> 2.2146, 2021-11-29 -> 2022-04-26, , 2021-11-29, 3.7534, 有历史分红, 
25, '540008, 汇丰晋信低碳先锋股票A (540008), 2022-07-18, 4.2862, -11.07%, 16.21%, , , -68.31%, 2.7076 -> 0.8592, 2015-06-12 -> 2018-10-18, , 2021-09-15, 4.8206, 有历史分红, 
26, '001832, 易方达瑞恒灵活配置混合 (001832), 2022-07-18, 2.594, -15.45%, 48.58%, , , -31.8%, 1.044 -> 0.712, 2018-06-12 -> 2018-10-29, , 2021-02-10, 3.068, 无历史分红, 
27, '530003, 建信优选成长混合A (530003), 2022-07-18, 2.5271, -25.38%, 40.34%, , , -62.92%, 2.6345 -> 0.5497, 2007-10-16 -> 2008-11-04, , 2021-02-10, 3.5847, 有历史分红, 
28, '005827, 易方达蓝筹精选混合 (005827), 2022-07-18, 2.252, -36.18%, 81.14%, 80%~, , -44.59%, 3.5287 -> 1.9552, 2021-02-10 -> 2022-03-15, , 2021-02-10, 3.5287, 无历史分红, 
29, '002168, 嘉实智能汽车股票 (002168), 2022-07-18, 4.034, -17.49%, 41.13%, , , -42.52%, 4.889 -> 2.81, 2021-11-29 -> 2022-04-26, , 2021-11-29, 4.889, 无历史分红, 
30, '001156, 申万菱信新能源汽车混合 (001156), 2022-07-18, 3.067, -2.89%, 7.81%, , , -37.01%, 1.138 -> 0.717, 2017-11-13 -> 2018-10-18, , 2022-07-07, 3.158, 有历史分红, 
31, '012079, 信澳新能源精选混合 (012079), 2022-07-18, 1.6247, -9.36%, 20.93%, , , -44.72%, 1.7725 -> 0.9799, 2021-08-31 -> 2022-04-26, , 2022-07-07, 1.7924, 无历史分红, 
32, '519002, 华安安信消费混合A (519002), 2022-07-18, 4.692, -10.13%, 18.29%, , , -55.39%, 2.264 -> 1.01, 2015-06-12 -> 2015-09-02, , 2021-12-27, 5.223, 有历史分红, 
33, '166301, 华商新趋势优选灵活配置混合 (166301), 2022-07-18, 8.286, -16.4%, 39.03%, , , -42.02%, 2.877 -> 1.668, 2015-06-12 -> 2016-01-28, , 2021-09-13, 9.912, 无历史分红, 
34, '000991, 工银战略转型股票A (000991), 2022-07-18, 3.873, -4.77%, 9.07%, , , -52.59%, 1.546 -> 0.733, 2015-06-12 -> 2015-07-08, , 2022-01-19, 4.067, 无历史分红, 
35, '002256, 金信行业优选混合发起式 (002256), 2022-07-18, 2.091, -26.24%, 53.79%, , , -48.78%, 2.835 -> 1.452, 2021-11-22 -> 2022-04-26, , 2021-11-22, 2.835, 无历史分红, 
36, '010364, 鹏华空天军工指数(LOF)C (010364), 2022-07-18, 1.2346, -19.08%, 44.42%, , , -42.95%, 1.5257 -> 0.8704, 2021-11-30 -> 2022-04-26, , 2021-11-30, 1.5257, 无历史分红, 
37, '001105, 信澳转型创新股票A (001105), , , , , , , , , , ,
38, '513050, 易方达中概互联50ETF (513050), , , , , , , , , , ,
39, '000248, 汇添富中证主要消费ETF联接A (000248), , , , , , , , , , ,
40, '160119, 南方中证500ETF联接A (160119), , , , , , , , , , ,
41, '001717, 工银前沿医疗股票A (001717), , , , , , , , , , ,

, 阈值区间变化提醒：
序号, 基金代码, 基金名称, 最新净值, 最新回撤, 相对于历史最大回撤,昨日阈值区间,今日阈值区间
, 无
