FSRQ,DWJZ,LJJZ,JZZZL,SDATE,ACTUALSYI,NAVTYPE,SGZT,SHZT,FHFCZ,FHFCBZ,DTYPE,FHSP,FQJZ,preHighFSRQ,preHighDWJZ,preHighLJJZ,withdraw,
2012-09-06,1.0,1.0,0.0,            null,            ,            1,            封闭期,            封闭期,            ,            ,            null,            ,1.0,2012-09-06,1.0,1.0,0.0,
2012-09-07,1.0,1.0,0.0,            null,            ,            1,            封闭期,            封闭期,            ,            ,            null,            ,1.0,2012-09-06,1.0,1.0,0.0,
2012-09-14,1.0,1.0,0.0,            null,            ,            1,            封闭期,            封闭期,            ,            ,            null,            ,1.0,2012-09-06,1.0,1.0,0.0,
2012-09-19,1.0,1.0,0.0,            null,            ,            1,            封闭期,            封闭期,            ,            ,            null,            ,1.0,2012-09-06,1.0,1.0,0.0,
2012-09-21,1.0,1.0,0.0,            null,            ,            1,            封闭期,            封闭期,            ,            ,            null,            ,1.0,2012-09-06,1.0,1.0,0.0,
2012-09-25,1.0,1.0,0.0,            null,            ,            1,            封闭期,            封闭期,            ,            ,            null,            ,1.0,2012-09-06,1.0,1.0,0.0,
2012-09-26,1.001,1.001,0.1,            null,            ,            1,            开放申购,            开放赎回,            ,            ,            null,            ,1.001,2012-09-26,1.001,1.001,0.0,
2012-09-27,1.001,1.001,0.0,            null,            ,            1,            开放申购,            开放赎回,            ,            ,            null,            ,1.001,2012-09-26,1.001,1.001,0.0,
2012-09-28,1.002,1.002,0.1,            null,            ,            1,            开放申购,            开放赎回,            ,            ,            null,            ,1.002,2012-09-28,1.002,1.002,0.0,
2012-10-08,1.001,1.001,-0.1,            null,            ,            1,            开放申购,            开放赎回,            ,            ,            null,            ,1.001,2012-09-28,1.002,1.002,0.1,
2012-10-09,1.005,1.005,0.4,            null,            ,            1,            开放申购,            开放赎回,            ,            ,            null,            ,1.005,2012-10-09,1.005,1.005,0.0,
2012-10-10,1.007,1.007,0.2,            null,            ,            1,            开放申购,            开放赎回,            ,            ,            null,            ,1.007,2012-10-10,1.007,1.007,0.0,
2012-10-11,1.002,1.002,-0.5,            null,            ,            1,            开放申购,            开放赎回,            ,            ,            null,            ,1.002,2012-10-10,1.007,1.007,0.5,
2012-10-12,0.997,0.997,-0.5,            null,            ,            1,            开放申购,            开放赎回,            ,            ,            null,            ,0.997,2012-10-10,1.007,1.007,0.99,
2012-10-15,0.99,0.99,-0.7,            null,            ,            1,            开放申购,            开放赎回,            ,            ,            null,            ,0.99,2012-10-10,1.007,1.007,1.69,
2012-10-16,0.992,0.992,0.2,            null,            ,            1,            开放申购,            开放赎回,            ,            ,            null,            ,0.992,2012-10-10,1.007,1.007,1.49,
2012-10-17,0.992,0.992,0.0,            null,            ,            1,            开放申购,            开放赎回,            ,            ,            null,            ,0.992,2012-10-10,1.007,1.007,1.49,
2012-10-18,1.002,1.002,1.01,            null,            ,            1,            开放申购,            开放赎回,            ,            ,            null,            ,1.002,2012-10-10,1.007,1.007,0.5,
2012-10-19,1.002,1.002,0.0,            null,            ,            1,            开放申购,            开放赎回,            ,            ,            null,            ,1.002,2012-10-10,1.007,1.007,0.5,
2012-10-22,1.008,1.008,0.6,            null,            ,            1,            开放申购,            开放赎回,            ,            ,            null,            ,1.008,2012-10-22,1.008,1.008,0.0,
2012-10-23,0.997,0.997,-1.09,            null,            ,            1,            开放申购,            开放赎回,            ,            ,            null,            ,0.997,2012-10-22,1.008,1.008,1.09,
2012-10-24,0.991,0.991,-0.6,            null,            ,            1,            开放申购,            开放赎回,            ,            ,            null,            ,0.991,2012-10-22,1.008,1.008,1.69,
2012-10-25,0.983,0.983,-0.81,            null,            ,            1,            开放申购,            开放赎回,            ,            ,            null,            ,0.983,2012-10-22,1.008,1.008,2.48,
2012-10-26,0.97,0.97,-1.32,            null,            ,            1,            开放申购,            开放赎回,            ,            ,            null,            ,0.97,2012-10-22,1.008,1.008,3.77,
2012-10-29,0.967,0.967,-0.31,            null,            ,            1,            开放申购,            开放赎回,            ,            ,            null,            ,0.967,2012-10-22,1.008,1.008,4.07,
2012-10-30,0.969,0.969,0.21,            null,            ,            1,            开放申购,            开放赎回,            ,            ,            null,            ,0.969,2012-10-22,1.008,1.008,3.87,
2012-10-31,0.974,0.974,0.52,            null,            ,            1,            开放申购,            开放赎回,            ,            ,            null,            ,0.974,2012-10-22,1.008,1.008,3.37,
2012-11-01,0.986,0.986,1.23,            null,            ,            1,            开放申购,            开放赎回,            ,            ,            null,            ,0.986,2012-10-22,1.008,1.008,2.18,
2012-11-02,0.99,0.99,0.41,            null,            ,            1,            开放申购,            开放赎回,            ,            ,            null,            ,0.99,2012-10-22,1.008,1.008,1.79,
2012-11-05,0.987,0.987,-0.3,            null,            ,            1,            开放申购,            开放赎回,            ,            ,            null,            ,0.987,2012-10-22,1.008,1.008,2.08,
2012-11-06,0.981,0.981,-0.61,            null,            ,            1,            开放申购,            开放赎回,            ,            ,            null,            ,0.981,2012-10-22,1.008,1.008,2.68,
