FSRQ,DWJZ,LJJZ,JZZZL,SDATE,ACTUALSYI,NAVTYPE,SGZT,SHZT,FHFCZ,FHFCBZ,DTYPE,FHSP,FQJZ,preHighFSRQ,preHighDWJZ,preHighLJJZ,withdraw,
2015-05-27,1.0,1.0,0.0,            null,            ,            1,            封闭期,            封闭期,            ,            ,            null,            ,1.0,2015-05-27,1.0,1.0,0.0,
2015-05-29,0.995,0.995,0.0,            null,            ,            1,            封闭期,            封闭期,            ,            ,            null,            ,1.0,2015-05-27,1.0,1.0,0.0,
2015-06-04,0.997,0.997,0.0,            null,            ,            1,            封闭期,            封闭期,            ,            ,            null,            ,1.0,2015-05-27,1.0,1.0,0.0,
2015-06-05,1.012,1.012,1.5,            null,            ,            1,            开放申购,            开放赎回,            ,            ,            null,            ,1.015,2015-06-05,1.012,1.012,0.0,
2015-06-08,1.038,1.038,2.57,            null,            ,            1,            开放申购,            开放赎回,            ,            ,            null,            ,1.04109,2015-06-08,1.038,1.038,0.0,
2015-06-09,1.027,1.027,-1.06,            null,            ,            1,            开放申购,            开放赎回,            ,            ,            null,            ,1.03005,2015-06-08,1.038,1.038,1.06,
2015-06-10,1.043,1.043,1.56,            null,            ,            1,            开放申购,            开放赎回,            ,            ,            null,            ,1.04612,2015-06-10,1.043,1.043,0.0,
2015-06-11,1.048,1.048,0.48,            null,            ,            1,            开放申购,            开放赎回,            ,            ,            null,            ,1.05114,2015-06-11,1.048,1.048,0.0,
2015-06-12,1.075,1.075,2.58,            null,            ,            1,            开放申购,            开放赎回,            ,            ,            null,            ,1.07826,2015-06-12,1.075,1.075,0.0,
2015-06-15,1.083,1.083,0.74,            null,            ,            1,            开放申购,            开放赎回,            ,            ,            null,            ,1.08624,2015-06-15,1.083,1.083,0.0,
2015-06-16,1.049,1.049,-3.14,            null,            ,            1,            开放申购,            开放赎回,            ,            ,            null,            ,1.05213,2015-06-15,1.083,1.083,3.14,
2015-06-17,1.066,1.066,1.62,            null,            ,            1,            开放申购,            开放赎回,            ,            ,            null,            ,1.06917,2015-06-15,1.083,1.083,1.57,
2015-06-18,1.025,1.025,-3.85,            null,            ,            1,            开放申购,            开放赎回,            ,            ,            null,            ,1.02801,2015-06-15,1.083,1.083,5.36,
2015-06-19,0.963,0.963,-6.05,            null,            ,            1,            开放申购,            开放赎回,            ,            ,            null,            ,0.96582,2015-06-15,1.083,1.083,11.09,
