FSRQ,DWJZ,LJJZ,JZZZL,SDATE,ACTUALSYI,NAVTYPE,SGZT,SHZT,FHFCZ,FHFCBZ,DTYPE,FHSP,FQJZ,preHighFSRQ,preHighDWJZ,preHighLJJZ,withdraw,
2021-06-09,1.0,1.0,0.0,            null,            ,            1,            封闭期,            封闭期,            ,            ,            null,            ,1.0,2021-06-09,1.0,1.0,0.0,
2021-06-11,0.9967,0.9967,0.0,            null,            ,            1,            封闭期,            封闭期,            ,            ,            null,            ,0.9967,2021-06-09,1.0,1.0,0.33,
2021-06-18,1.0019,1.0019,0.0,            null,            ,            1,            封闭期,            封闭期,            ,            ,            null,            ,1.0019,2021-06-18,1.0019,1.0019,0.0,
2021-06-25,1.0503,1.0503,0.0,            null,            ,            1,            封闭期,            封闭期,            ,            ,            null,            ,1.0503,2021-06-25,1.0503,1.0503,0.0,
2021-06-30,1.0801,1.0801,0.0,            null,            ,            1,            封闭期,            封闭期,            ,            ,            null,            ,1.0801,2021-06-30,1.0801,1.0801,0.0,
2021-07-02,1.1002,1.1002,0.0,            null,            ,            1,            封闭期,            封闭期,            ,            ,            null,            ,1.1002,2021-07-02,1.1002,1.1002,0.0,
2021-07-09,1.2447,1.2447,0.0,            null,            ,            1,            封闭期,            封闭期,            ,            ,            null,            ,1.2447,2021-07-09,1.2447,1.2447,0.0,
2021-07-16,1.2405,1.2405,0.0,            null,            ,            1,            封闭期,            封闭期,            ,            ,            null,            ,1.2405,2021-07-09,1.2447,1.2447,0.34,
2021-07-23,1.3424,1.3424,0.0,            null,            ,            1,            封闭期,            封闭期,            ,            ,            null,            ,1.3424,2021-07-23,1.3424,1.3424,0.0,
2021-07-26,1.3638,1.3638,1.59,            null,            ,            1,            封闭期,            封闭期,            ,            ,            null,            ,1.3638,2021-07-26,1.3638,1.3638,0.0,
2021-07-27,1.3,1.3,-4.68,            null,            ,            1,            封闭期,            封闭期,            ,            ,            null,            ,1.3,2021-07-26,1.3638,1.3638,4.68,
2021-07-28,1.2868,1.2868,-1.02,            null,            ,            1,            封闭期,            封闭期,            ,            ,            null,            ,1.2868,2021-07-26,1.3638,1.3638,5.65,
2021-07-29,1.3797,1.3797,7.22,            null,            ,            1,            封闭期,            封闭期,            ,            ,            null,            ,1.3797,2021-07-29,1.3797,1.3797,0.0,
2021-07-30,1.4626,1.4626,6.01,            null,            ,            1,            封闭期,            封闭期,            ,            ,            null,            ,1.4626,2021-07-30,1.4626,1.4626,0.0,
2021-08-02,1.5008,1.5008,2.61,            null,            ,            1,            封闭期,            封闭期,            ,            ,            null,            ,1.5008,2021-08-02,1.5008,1.5008,0.0,
2021-08-03,1.4176,1.4176,-5.54,            null,            ,            1,            封闭期,            封闭期,            ,            ,            null,            ,1.4176,2021-08-02,1.5008,1.5008,5.54,
2021-08-04,1.4995,1.4995,5.78,            null,            ,            1,            封闭期,            封闭期,            ,            ,            null,            ,1.4995,2021-08-02,1.5008,1.5008,0.09,
2021-08-05,1.4652,1.4652,-2.29,            null,            ,            1,            封闭期,            封闭期,            ,            ,            null,            ,1.4652,2021-08-02,1.5008,1.5008,2.37,
