FSRQ,DWJZ,LJJZ,JZZZL,SDATE,ACTUALSYI,NAVTYPE,SGZT,SHZT,FHFCZ,FHFCBZ,DTYPE,FHSP,FQJZ,preHighFSRQ,preHighDWJZ,preHighLJJZ,withdraw,
2010-12-29,1.0,1.0,0.0, null, , 1, 封闭期, 封闭期, , , null, ,1.0,2010-12-29,1.0,1.0,0.0,
2010-12-31,1.0,1.0,0.0, null, , 1, 封闭期, 封闭期, , , null, ,1.0,2010-12-29,1.0,1.0,0.0,
2011-01-07,0.9993,0.9993,-0.07, null, , 1, 封闭期, 封闭期, , , null, ,0.9993,2010-12-29,1.0,1.0,0.07,
2011-01-14,0.9937,0.9937,-0.56, null, , 1, 封闭期, 封闭期, , , null, ,0.9937,2010-12-29,1.0,1.0,0.63,
2011-01-21,0.9865,0.9865,-0.72, null, , 1, 封闭期, 封闭期, , , null, ,0.9865,2010-12-29,1.0,1.0,1.35,
2011-01-28,0.9943,0.9943,0.79, null, , 1, 封闭期, 封闭期, , , null, ,0.9943,2010-12-29,1.0,1.0,0.57,
2011-02-01,0.9953,0.9953,0.1, null, , 1, 封闭期, 封闭期, , , null, ,0.9953,2010-12-29,1.0,1.0,0.47,
2011-02-11,1.0073,1.0073,1.21, null, , 1, 封闭期, 封闭期, , , null, ,1.0073,2011-02-11,1.0073,1.0073,0.0,
2011-02-18,1.0135,1.0135,0.62, null, , 1, 封闭期, 封闭期, , , null, ,1.0135,2011-02-18,1.0135,1.0135,0.0,
2011-02-25,1.0237,1.0237,1.01, null, , 1, 封闭期, 封闭期, , , null, ,1.0237,2011-02-25,1.0237,1.0237,0.0,
2011-02-28,1.0324,1.0324,0.85, null, , 1, 开放申购, 开放赎回, , , null, ,1.0324,2011-02-28,1.0324,1.0324,0.0,
2011-03-01,1.0329,1.0329,0.05, null, , 1, 开放申购, 开放赎回, , , null, ,1.0329,2011-03-01,1.0329,1.0329,0.0,
2011-03-02,1.0272,1.0272,-0.55, null, , 1, 开放申购, 开放赎回, , , null, ,1.0272,2011-03-01,1.0329,1.0329,0.55,
2011-03-03,1.0178,1.0178,-0.92, null, , 1, 开放申购, 开放赎回, , , null, ,1.0178,2011-03-01,1.0329,1.0329,1.46,
2011-03-04,1.0234,1.0234,0.55, null, , 1, 开放申购, 开放赎回, , , null, ,1.0234,2011-03-01,1.0329,1.0329,0.92,
2011-03-07,1.03,1.03,0.64, null, , 1, 开放申购, 开放赎回, , , null, ,1.03,2011-03-01,1.0329,1.0329,0.28,
2011-03-08,1.0285,1.0285,-0.15, null, , 1, 开放申购, 开放赎回, , , null, ,1.0285,2011-03-01,1.0329,1.0329,0.43,
