FSRQ,DWJZ,LJJZ,JZZZL,SDATE,ACTUALSYI,NAVTYPE,SGZT,SHZT,FHFCZ,FHFCBZ,DTYPE,FHSP,FQJZ,preHighFSRQ,preHighDWJZ,preHighLJJZ,withdraw,
2015-03-24,1.0,1.0,0.0,       null,       ,       1,       封闭期,       封闭期,       ,       ,       null,       ,1.0,2015-03-24,1.0,1.0,0.0,
2015-03-27,1.0006,1.0006,0.0,       null,       ,       1,       封闭期,       封闭期,       ,       ,       null,       ,1.0006,2015-03-27,1.0006,1.0006,0.0,
2015-04-03,1.0215,1.0215,0.0,       null,       ,       1,       封闭期,       封闭期,       ,       ,       null,       ,1.0215,2015-04-03,1.0215,1.0215,0.0,
2015-04-10,1.0563,1.0563,0.0,       null,       ,       1,       封闭期,       封闭期,       ,       ,       null,       ,1.0563,2015-04-10,1.0563,1.0563,0.0,
2015-04-16,1.0753,1.0753,0.0,       null,       ,       1,       封闭期,       封闭期,       ,       ,       null,       ,1.0753,2015-04-16,1.0753,1.0753,0.0,
2015-04-17,1.0786,1.0786,0.31,       null,       ,       1,       封闭期,       封闭期,       ,       ,       null,       ,1.0786,2015-04-17,1.0786,1.0786,0.0,
2015-04-24,1.119,1.119,0.0,       null,       ,       1,       封闭期,       封闭期,       ,       ,       null,       ,1.119,2015-04-24,1.119,1.119,0.0,
2015-04-30,1.1017,1.1017,0.0,       null,       ,       1,       封闭期,       封闭期,       ,       ,       null,       ,1.1017,2015-04-24,1.119,1.119,1.55,
2015-05-08,1.0782,1.0782,0.0,       null,       ,       1,       封闭期,       封闭期,       ,       ,       null,       ,1.0782,2015-04-24,1.119,1.119,3.65,
2015-05-15,1.1081,1.1081,0.0,       null,       ,       1,       封闭期,       封闭期,       ,       ,       null,       ,1.1081,2015-04-24,1.119,1.119,0.97,
2015-05-22,1.2062,1.2062,0.0,       null,       ,       1,       封闭期,       封闭期,       ,       ,       null,       ,1.2062,2015-05-22,1.2062,1.2062,0.0,
2015-05-25,1.2466,1.2466,3.35,       null,       ,       1,       开放申购,       开放赎回,       ,       ,       null,       ,1.2466,2015-05-25,1.2466,1.2466,0.0,
2015-05-26,1.2691,1.2691,1.8,       null,       ,       1,       开放申购,       开放赎回,       ,       ,       null,       ,1.2691,2015-05-26,1.2691,1.2691,0.0,
2015-05-27,1.2778,1.2778,0.69,       null,       ,       1,       开放申购,       开放赎回,       ,       ,       null,       ,1.2778,2015-05-27,1.2778,1.2778,0.0,
2015-05-28,1.1985,1.1985,-6.21,       null,       ,       1,       开放申购,       开放赎回,       ,       ,       null,       ,1.1985,2015-05-27,1.2778,1.2778,6.21,
2015-05-29,1.1941,1.1941,-0.37,       null,       ,       1,       开放申购,       开放赎回,       ,       ,       null,       ,1.1941,2015-05-27,1.2778,1.2778,6.55,
2015-06-01,1.2483,1.2483,4.54,       null,       ,       1,       开放申购,       开放赎回,       ,       ,       null,       ,1.2483,2015-05-27,1.2778,1.2778,2.31,
2015-06-02,1.2806,1.2806,2.59,       null,       ,       1,       开放申购,       开放赎回,       ,       ,       null,       ,1.2806,2015-06-02,1.2806,1.2806,0.0,
2015-06-03,1.2683,1.2683,-0.96,       null,       ,       1,       开放申购,       开放赎回,       ,       ,       null,       ,1.2683,2015-06-02,1.2806,1.2806,0.96,
2015-06-04,1.2532,1.2532,-1.19,       null,       ,       1,       开放申购,       开放赎回,       ,       ,       null,       ,1.2532,2015-06-02,1.2806,1.2806,2.14,
2015-06-05,1.2722,1.2722,1.52,       null,       ,       1,       开放申购,       开放赎回,       ,       ,       null,       ,1.2722,2015-06-02,1.2806,1.2806,0.66,
2015-06-08,1.2884,1.2884,1.27,       null,       ,       1,       开放申购,       开放赎回,       ,       ,       null,       ,1.2884,2015-06-08,1.2884,1.2884,0.0,
2015-06-09,1.2815,1.2815,-0.54,       null,       ,       1,       开放申购,       开放赎回,       ,       ,       null,       ,1.2815,2015-06-08,1.2884,1.2884,0.54,
2015-06-10,1.3019,1.3019,1.59,       null,       ,       1,       开放申购,       开放赎回,       ,       ,       null,       ,1.3019,2015-06-10,1.3019,1.3019,0.0,
2015-06-11,1.314,1.314,0.93,       null,       ,       1,       开放申购,       开放赎回,       ,       ,       null,       ,1.314,2015-06-11,1.314,1.314,0.0,
2015-06-12,1.336,1.336,1.67,       null,       ,       1,       开放申购,       开放赎回,       ,       ,       null,       ,1.336,2015-06-12,1.336,1.336,0.0,
2015-06-15,1.3153,1.3153,-1.55,       null,       ,       1,       开放申购,       开放赎回,       ,       ,       null,       ,1.3153,2015-06-12,1.336,1.336,1.55,
2015-06-16,1.2812,1.2812,-2.59,       null,       ,       1,       开放申购,       开放赎回,       ,       ,       null,       ,1.2812,2015-06-12,1.336,1.336,4.1,
2015-06-17,1.2949,1.2949,1.07,       null,       ,       1,       开放申购,       开放赎回,       ,       ,       null,       ,1.2949,2015-06-12,1.336,1.336,3.08,
2015-06-18,1.2472,1.2472,-3.68,       null,       ,       1,       开放申购,       开放赎回,       ,       ,       null,       ,1.2472,2015-06-12,1.336,1.336,6.65,
2015-06-19,1.1629,1.1629,-6.76,       null,       ,       1,       开放申购,       开放赎回,       ,       ,       null,       ,1.1629,2015-06-12,1.336,1.336,12.96,
2015-06-23,1.2021,1.2021,3.37,       null,       ,       1,       开放申购,       开放赎回,       ,       ,       null,       ,1.2021,2015-06-12,1.336,1.336,10.02,
2015-06-24,1.2373,1.2373,2.93,       null,       ,       1,       开放申购,       开放赎回,       ,       ,       null,       ,1.2373,2015-06-12,1.336,1.336,7.39,
2015-06-25,1.2012,1.2012,-2.92,       null,       ,       1,       开放申购,       开放赎回,       ,       ,       null,       ,1.2012,2015-06-12,1.336,1.336,10.09,
2015-06-26,1.11,1.11,-7.59,       null,       ,       1,       开放申购,       开放赎回,       ,       ,       null,       ,1.11,2015-06-12,1.336,1.336,16.92,
2015-06-29,1.076,1.076,-3.06,       null,       ,       1,       开放申购,       开放赎回,       ,       ,       null,       ,1.076,2015-06-12,1.336,1.336,19.46,
2015-06-30,1.1326,1.1326,5.26,       null,       ,       1,       开放申购,       开放赎回,       ,       ,       null,       ,1.1326,2015-06-12,1.336,1.336,15.22,
2015-07-01,1.0866,1.0866,-4.06,       null,       ,       1,       开放申购,       开放赎回,       ,       ,       null,       ,1.0866,2015-06-12,1.336,1.336,18.67,
2015-07-02,1.0312,1.0312,-5.1,       null,       ,       1,       开放申购,       开放赎回,       ,       ,       null,       ,1.0312,2015-06-12,1.336,1.336,22.81,
2015-07-03,0.9753,0.9753,-5.42,       null,       ,       1,       开放申购,       开放赎回,       ,       ,       null,       ,0.9753,2015-06-12,1.336,1.336,27.0,
2015-07-06,0.9929,0.9929,1.8,       null,       ,       1,       开放申购,       开放赎回,       ,       ,       null,       ,0.9929,2015-06-12,1.336,1.336,25.68,
2015-07-07,0.9423,0.9423,-5.1,       null,       ,       1,       开放申购,       开放赎回,       ,       ,       null,       ,0.9423,2015-06-12,1.336,1.336,29.47,
2015-07-08,0.8873,0.8873,-5.84,       null,       ,       1,       开放申购,       开放赎回,       ,       ,       null,       ,0.8873,2015-06-12,1.336,1.336,33.59,
2015-07-09,0.9515,0.9515,7.24,       null,       ,       1,       开放申购,       开放赎回,       ,       ,       null,       ,0.9515,2015-06-12,1.336,1.336,28.78,
2015-07-10,1.0183,1.0183,7.02,       null,       ,       1,       开放申购,       开放赎回,       ,       ,       null,       ,1.0183,2015-06-12,1.336,1.336,23.78,
2015-07-13,1.0597,1.0597,4.07,       null,       ,       1,       开放申购,       开放赎回,       ,       ,       null,       ,1.0597,2015-06-12,1.336,1.336,20.68,
2015-07-14,1.0437,1.0437,-1.51,       null,       ,       1,       开放申购,       开放赎回,       ,       ,       null,       ,1.0437,2015-06-12,1.336,1.336,21.88,
2015-07-15,0.9981,0.9981,-4.37,       null,       ,       1,       开放申购,       开放赎回,       ,       ,       null,       ,0.9981,2015-06-12,1.336,1.336,25.29,
2015-07-16,1.0184,1.0184,2.03,       null,       ,       1,       开放申购,       开放赎回,       ,       ,       null,       ,1.0184,2015-06-12,1.336,1.336,23.77,
2015-07-17,1.0643,1.0643,4.51,       null,       ,       1,       开放申购,       开放赎回,       ,       ,       null,       ,1.0643,2015-06-12,1.336,1.336,20.34,
2015-07-20,1.0672,1.0672,0.27,       null,       ,       1,       开放申购,       开放赎回,       ,       ,       null,       ,1.0672,2015-06-12,1.336,1.336,20.12,
2015-07-21,1.0762,1.0762,0.84,       null,       ,       1,       开放申购,       开放赎回,       ,       ,       null,       ,1.0762,2015-06-12,1.336,1.336,19.45,
2015-07-22,1.0854,1.0854,0.85,       null,       ,       1,       开放申购,       开放赎回,       ,       ,       null,       ,1.0854,2015-06-12,1.336,1.336,18.76,
2015-07-23,1.1069,1.1069,1.98,       null,       ,       1,       开放申购,       开放赎回,       ,       ,       null,       ,1.1069,2015-06-12,1.336,1.336,17.15,
2015-07-24,1.0859,1.0859,-1.9,       null,       ,       1,       开放申购,       开放赎回,       ,       ,       null,       ,1.0859,2015-06-12,1.336,1.336,18.72,
2015-07-27,1.0011,1.0011,-7.81,       null,       ,       1,       开放申购,       开放赎回,       ,       ,       null,       ,1.0011,2015-06-12,1.336,1.336,25.07,
2015-07-28,1.0094,1.0094,0.83,       null,       ,       1,       开放申购,       开放赎回,       ,       ,       null,       ,1.0094,2015-06-12,1.336,1.336,24.45,
2015-07-29,1.043,1.043,3.33,       null,       ,       1,       开放申购,       开放赎回,       ,       ,       null,       ,1.043,2015-06-12,1.336,1.336,21.93,
2015-07-30,1.0165,1.0165,-2.54,       null,       ,       1,       开放申购,       开放赎回,       ,       ,       null,       ,1.0165,2015-06-12,1.336,1.336,23.91,
2015-07-31,1.0161,1.0161,-0.04,       null,       ,       1,       开放申购,       开放赎回,       ,       ,       null,       ,1.0161,2015-06-12,1.336,1.336,23.94,
2015-08-03,1.015,1.015,-0.11,       null,       ,       1,       开放申购,       开放赎回,       ,       ,       null,       ,1.015,2015-06-12,1.336,1.336,24.03,
2015-08-04,1.0497,1.0497,3.42,       null,       ,       1,       开放申购,       开放赎回,       ,       ,       null,       ,1.0497,2015-06-12,1.336,1.336,21.43,
2015-08-05,1.0346,1.0346,-1.44,       null,       ,       1,       开放申购,       开放赎回,       ,       ,       null,       ,1.0346,2015-06-12,1.336,1.336,22.56,
2015-08-06,1.0228,1.0228,-1.14,       null,       ,       1,       开放申购,       开放赎回,       ,       ,       null,       ,1.0228,2015-06-12,1.336,1.336,23.44,
2015-08-07,1.0408,1.0408,1.76,       null,       ,       1,       开放申购,       开放赎回,       ,       ,       null,       ,1.0408,2015-06-12,1.336,1.336,22.1,
2015-08-10,1.0816,1.0816,3.92,       null,       ,       1,       开放申购,       开放赎回,       ,       ,       null,       ,1.0816,2015-06-12,1.336,1.336,19.04,
2015-08-11,1.0816,1.0816,0.0,       null,       ,       1,       开放申购,       开放赎回,       ,       ,       null,       ,1.0816,2015-06-12,1.336,1.336,19.04,
2015-08-12,1.0756,1.0756,-0.55,       null,       ,       1,       开放申购,       开放赎回,       ,       ,       null,       ,1.0756,2015-06-12,1.336,1.336,19.49,
2015-08-13,1.0868,1.0868,1.04,       null,       ,       1,       开放申购,       开放赎回,       ,       ,       null,       ,1.0868,2015-06-12,1.336,1.336,18.65,
2015-08-14,1.0948,1.0948,0.74,       null,       ,       1,       开放申购,       开放赎回,       ,       ,       null,       ,1.0948,2015-06-12,1.336,1.336,18.05,
2015-08-17,1.1088,1.1088,1.28,       null,       ,       1,       开放申购,       开放赎回,       ,       ,       null,       ,1.1088,2015-06-12,1.336,1.336,17.01,
2015-08-18,1.0404,1.0404,-6.17,       null,       ,       1,       开放申购,       开放赎回,       ,       ,       null,       ,1.0404,2015-06-12,1.336,1.336,22.13,
2015-08-19,1.0569,1.0569,1.59,       null,       ,       1,       开放申购,       开放赎回,       ,       ,       null,       ,1.0569,2015-06-12,1.336,1.336,20.89,
2015-08-20,1.0255,1.0255,-2.97,       null,       ,       1,       开放申购,       开放赎回,       ,       ,       null,       ,1.0255,2015-06-12,1.336,1.336,23.24,
2015-08-21,0.9849,0.9849,-3.96,       null,       ,       1,       开放申购,       开放赎回,       ,       ,       null,       ,0.9849,2015-06-12,1.336,1.336,26.28,
2015-08-24,0.9086,0.9086,-7.75,       null,       ,       1,       开放申购,       开放赎回,       ,       ,       null,       ,0.9086,2015-06-12,1.336,1.336,31.99,
2015-08-25,0.8632,0.8632,-5.0,       null,       ,       1,       开放申购,       开放赎回,       ,       ,       null,       ,0.8632,2015-06-12,1.336,1.336,35.39,
2015-08-26,0.8673,0.8673,0.48,       null,       ,       1,       开放申购,       开放赎回,       ,       ,       null,       ,0.8673,2015-06-12,1.336,1.336,35.08,
