FSRQ,DWJZ,LJJZ,JZZZL,SDATE,ACTUALSYI,NAVTYPE,SGZT,SHZT,FHFCZ,FHFCBZ,DTYPE,FHSP,FQJZ,preHighFSRQ,preHighDWJZ,preHighLJJZ,withdraw,
2021-05-25,1.0,1.0,0.0,                     null,                     ,                     1,                     封闭期,                     封闭期,                     ,                     ,                     null,                     ,1.0,2021-05-25,1.0,1.0,0.0,
2021-05-28,1.0084,1.0084,0.0,                     null,                     ,                     1,                     封闭期,                     封闭期,                     ,                     ,                     null,                     ,1.0084,2021-05-28,1.0084,1.0084,0.0,
2021-06-04,1.02,1.02,0.0,                     null,                     ,                     1,                     封闭期,                     封闭期,                     ,                     ,                     null,                     ,1.02,2021-06-04,1.02,1.02,0.0,
2021-06-11,1.0272,1.0272,0.0,                     null,                     ,                     1,                     封闭期,                     封闭期,                     ,                     ,                     null,                     ,1.0272,2021-06-11,1.0272,1.0272,0.0,
2021-06-18,1.0402,1.0402,0.0,                     null,                     ,                     1,                     封闭期,                     封闭期,                     ,                     ,                     null,                     ,1.0402,2021-06-18,1.0402,1.0402,0.0,
2021-06-25,1.063,1.063,0.0,                     null,                     ,                     1,                     封闭期,                     封闭期,                     ,                     ,                     null,                     ,1.063,2021-06-25,1.063,1.063,0.0,
2021-06-30,1.0777,1.0777,0.0,                     null,                     ,                     1,                     封闭期,                     封闭期,                     ,                     ,                     null,                     ,1.0777,2021-06-30,1.0777,1.0777,0.0,
2021-07-02,1.0838,1.0838,0.0,                     null,                     ,                     1,                     封闭期,                     封闭期,                     ,                     ,                     null,                     ,1.0838,2021-07-02,1.0838,1.0838,0.0,
2021-07-05,1.1436,1.1436,5.52,                     null,                     ,                     1,                     封闭期,                     封闭期,                     ,                     ,                     null,                     ,1.1436,2021-07-05,1.1436,1.1436,0.0,
2021-07-06,1.1335,1.1335,-0.88,                     null,                     ,                     1,                     开放申购,                     开放赎回,                     ,                     ,                     null,                     ,1.1335,2021-07-05,1.1436,1.1436,0.88,
2021-07-07,1.1881,1.1881,4.82,                     null,                     ,                     1,                     开放申购,                     开放赎回,                     ,                     ,                     null,                     ,1.1881,2021-07-07,1.1881,1.1881,0.0,
2021-07-08,1.1963,1.1963,0.69,                     null,                     ,                     1,                     开放申购,                     开放赎回,                     ,                     ,                     null,                     ,1.1963,2021-07-08,1.1963,1.1963,0.0,
2021-07-09,1.2598,1.2598,5.31,                     null,                     ,                     1,                     开放申购,                     开放赎回,                     ,                     ,                     null,                     ,1.2598,2021-07-09,1.2598,1.2598,0.0,
2021-07-12,1.3385,1.3385,6.25,                     null,                     ,                     1,                     开放申购,                     开放赎回,                     ,                     ,                     null,                     ,1.3385,2021-07-12,1.3385,1.3385,0.0,
2021-07-13,1.3458,1.3458,0.55,                     null,                     ,                     1,                     开放申购,                     开放赎回,                     ,                     ,                     null,                     ,1.3458,2021-07-13,1.3458,1.3458,0.0,
2021-07-14,1.2846,1.2846,-4.55,                     null,                     ,                     1,                     开放申购,                     开放赎回,                     ,                     ,                     null,                     ,1.2846,2021-07-13,1.3458,1.3458,4.55,
2021-07-15,1.3103,1.3103,2.0,                     null,                     ,                     1,                     开放申购,                     开放赎回,                     ,                     ,                     null,                     ,1.3103,2021-07-13,1.3458,1.3458,2.64,
2021-07-16,1.3074,1.3074,-0.22,                     null,                     ,                     1,                     开放申购,                     开放赎回,                     ,                     ,                     null,                     ,1.3074,2021-07-13,1.3458,1.3458,2.85,
2021-07-19,1.2861,1.2861,-1.63,                     null,                     ,                     1,                     开放申购,                     开放赎回,                     ,                     ,                     null,                     ,1.2861,2021-07-13,1.3458,1.3458,4.44,
2021-07-20,1.3073,1.3073,1.65,                     null,                     ,                     1,                     开放申购,                     开放赎回,                     ,                     ,                     null,                     ,1.3073,2021-07-13,1.3458,1.3458,2.86,
2021-07-21,1.4072,1.4072,7.64,                     null,                     ,                     1,                     开放申购,                     开放赎回,                     ,                     ,                     null,                     ,1.4072,2021-07-21,1.4072,1.4072,0.0,
2021-07-22,1.4587,1.4587,3.66,                     null,                     ,                     1,                     开放申购,                     开放赎回,                     ,                     ,                     null,                     ,1.4587,2021-07-22,1.4587,1.4587,0.0,
2021-07-23,1.4447,1.4447,-0.96,                     null,                     ,                     1,                     开放申购,                     开放赎回,                     ,                     ,                     null,                     ,1.4447,2021-07-22,1.4587,1.4587,0.96,
2021-07-26,1.4593,1.4593,1.01,                     null,                     ,                     1,                     开放申购,                     开放赎回,                     ,                     ,                     null,                     ,1.4593,2021-07-26,1.4593,1.4593,0.0,
2021-07-27,1.3728,1.3728,-5.93,                     null,                     ,                     1,                     开放申购,                     开放赎回,                     ,                     ,                     null,                     ,1.3728,2021-07-26,1.4593,1.4593,5.93,
2021-07-28,1.3495,1.3495,-1.7,                     null,                     ,                     1,                     开放申购,                     开放赎回,                     ,                     ,                     null,                     ,1.3495,2021-07-26,1.4593,1.4593,7.52,
2021-07-29,1.431,1.431,6.04,                     null,                     ,                     1,                     开放申购,                     开放赎回,                     ,                     ,                     null,                     ,1.431,2021-07-26,1.4593,1.4593,1.94,
2021-07-30,1.5001,1.5001,4.83,                     null,                     ,                     1,                     开放申购,                     开放赎回,                     ,                     ,                     null,                     ,1.5001,2021-07-30,1.5001,1.5001,0.0,
2021-08-02,1.53,1.53,1.99,                     null,                     ,                     1,                     开放申购,                     开放赎回,                     ,                     ,                     null,                     ,1.53,2021-08-02,1.53,1.53,0.0,
2021-08-03,1.437,1.437,-6.08,                     null,                     ,                     1,                     开放申购,                     开放赎回,                     ,                     ,                     null,                     ,1.437,2021-08-02,1.53,1.53,6.08,
2021-08-04,1.542,1.542,7.31,                     null,                     ,                     1,                     开放申购,                     开放赎回,                     ,                     ,                     null,                     ,1.542,2021-08-04,1.542,1.542,0.0,
2021-08-05,1.5421,1.5421,0.01,                     null,                     ,                     1,                     开放申购,                     开放赎回,                     ,                     ,                     null,                     ,1.5421,2021-08-05,1.5421,1.5421,0.0,
2021-08-06,1.5653,1.5653,1.5,                     null,                     ,                     1,                     开放申购,                     开放赎回,                     ,                     ,                     null,                     ,1.5653,2021-08-06,1.5653,1.5653,0.0,
2021-08-09,1.5319,1.5319,-2.13,                     null,                     ,                     1,                     开放申购,                     开放赎回,                     ,                     ,                     null,                     ,1.5319,2021-08-06,1.5653,1.5653,2.13,
2021-08-10,1.4773,1.4773,-3.56,                     null,                     ,                     1,                     开放申购,                     开放赎回,                     ,                     ,                     null,                     ,1.4773,2021-08-06,1.5653,1.5653,5.62,
2021-08-11,1.4947,1.4947,1.18,                     null,                     ,                     1,                     开放申购,                     开放赎回,                     ,                     ,                     null,                     ,1.4947,2021-08-06,1.5653,1.5653,4.51,
2021-08-12,1.5186,1.5186,1.6,                     null,                     ,                     1,                     开放申购,                     开放赎回,                     ,                     ,                     null,                     ,1.5186,2021-08-06,1.5653,1.5653,2.98,
2021-08-13,1.5439,1.5439,1.67,                     null,                     ,                     1,                     开放申购,                     开放赎回,                     ,                     ,                     null,                     ,1.5439,2021-08-06,1.5653,1.5653,1.37,
2021-08-16,1.4555,1.4555,-5.73,                     null,                     ,                     1,                     开放申购,                     开放赎回,                     ,                     ,                     null,                     ,1.4555,2021-08-06,1.5653,1.5653,7.01,
2021-08-17,1.4341,1.4341,-1.47,                     null,                     ,                     1,                     开放申购,                     开放赎回,                     ,                     ,                     null,                     ,1.4341,2021-08-06,1.5653,1.5653,8.38,
2021-08-18,1.4803,1.4803,3.22,                     null,                     ,                     1,                     开放申购,                     开放赎回,                     ,                     ,                     null,                     ,1.4803,2021-08-06,1.5653,1.5653,5.43,
2021-08-19,1.5687,1.5687,5.97,                     null,                     ,                     1,                     开放申购,                     开放赎回,                     ,                     ,                     null,                     ,1.5687,2021-08-19,1.5687,1.5687,0.0,
2021-08-20,1.634,1.634,4.16,                     null,                     ,                     1,                     开放申购,                     开放赎回,                     ,                     ,                     null,                     ,1.634,2021-08-20,1.634,1.634,0.0,
2021-08-23,1.6988,1.6988,3.97,                     null,                     ,                     1,                     开放申购,                     开放赎回,                     ,                     ,                     null,                     ,1.6988,2021-08-23,1.6988,1.6988,0.0,
2021-08-24,1.695,1.695,-0.22,                     null,                     ,                     1,                     开放申购,                     开放赎回,                     ,                     ,                     null,                     ,1.695,2021-08-23,1.6988,1.6988,0.22,
2021-08-25,1.6725,1.6725,-1.33,                     null,                     ,                     1,                     开放申购,                     开放赎回,                     ,                     ,                     null,                     ,1.6725,2021-08-23,1.6988,1.6988,1.55,
2021-08-26,1.6495,1.6495,-1.38,                     null,                     ,                     1,                     开放申购,                     开放赎回,                     ,                     ,                     null,                     ,1.6495,2021-08-23,1.6988,1.6988,2.9,
2021-08-27,1.7086,1.7086,3.58,                     null,                     ,                     1,                     开放申购,                     开放赎回,                     ,                     ,                     null,                     ,1.7086,2021-08-27,1.7086,1.7086,0.0,
2021-08-30,1.75,1.75,2.42,                     null,                     ,                     1,                     开放申购,                     开放赎回,                     ,                     ,                     null,                     ,1.75,2021-08-30,1.75,1.75,0.0,
2021-08-31,1.7725,1.7725,1.29,                     null,                     ,                     1,                     开放申购,                     开放赎回,                     ,                     ,                     null,                     ,1.7725,2021-08-31,1.7725,1.7725,0.0,
2021-09-01,1.7004,1.7004,-4.07,                     null,                     ,                     1,                     开放申购,                     开放赎回,                     ,                     ,                     null,                     ,1.7004,2021-08-31,1.7725,1.7725,4.07,
2021-09-02,1.7249,1.7249,1.44,                     null,                     ,                     1,                     开放申购,                     开放赎回,                     ,                     ,                     null,                     ,1.7249,2021-08-31,1.7725,1.7725,2.69,
2021-09-03,1.6563,1.6563,-3.98,                     null,                     ,                     1,                     开放申购,                     开放赎回,                     ,                     ,                     null,                     ,1.6563,2021-08-31,1.7725,1.7725,6.56,
2021-09-06,1.6767,1.6767,1.23,                     null,                     ,                     1,                     开放申购,                     开放赎回,                     ,                     ,                     null,                     ,1.6767,2021-08-31,1.7725,1.7725,5.4,
2021-09-07,1.7067,1.7067,1.79,                     null,                     ,                     1,                     开放申购,                     开放赎回,                     ,                     ,                     null,                     ,1.7067,2021-08-31,1.7725,1.7725,3.71,
2021-09-08,1.7071,1.7071,0.02,                     null,                     ,                     1,                     开放申购,                     开放赎回,                     ,                     ,                     null,                     ,1.7071,2021-08-31,1.7725,1.7725,3.69,
2021-09-09,1.712,1.712,0.29,                     null,                     ,                     1,                     开放申购,                     开放赎回,                     ,                     ,                     null,                     ,1.712,2021-08-31,1.7725,1.7725,3.41,
2021-09-10,1.7405,1.7405,1.66,                     null,                     ,                     1,                     开放申购,                     开放赎回,                     ,                     ,                     null,                     ,1.7405,2021-08-31,1.7725,1.7725,1.81,
2021-09-13,1.7391,1.7391,-0.08,                     null,                     ,                     1,                     开放申购,                     开放赎回,                     ,                     ,                     null,                     ,1.7391,2021-08-31,1.7725,1.7725,1.88,
2021-09-14,1.7241,1.7241,-0.86,                     null,                     ,                     1,                     开放申购,                     开放赎回,                     ,                     ,                     null,                     ,1.7241,2021-08-31,1.7725,1.7725,2.73,
2021-09-15,1.7151,1.7151,-0.52,                     null,                     ,                     1,                     开放申购,                     开放赎回,                     ,                     ,                     null,                     ,1.7151,2021-08-31,1.7725,1.7725,3.24,
2021-09-16,1.6117,1.6117,-6.03,                     null,                     ,                     1,                     开放申购,                     开放赎回,                     ,                     ,                     null,                     ,1.6117,2021-08-31,1.7725,1.7725,9.07,
2021-09-17,1.6051,1.6051,-0.41,                     null,                     ,                     1,                     开放申购,                     开放赎回,                     ,                     ,                     null,                     ,1.6051,2021-08-31,1.7725,1.7725,9.44,
2021-09-22,1.6063,1.6063,0.07,                     null,                     ,                     1,                     开放申购,                     开放赎回,                     ,                     ,                     null,                     ,1.6063,2021-08-31,1.7725,1.7725,9.38,
2021-09-23,1.6039,1.6039,-0.15,                     null,                     ,                     1,                     开放申购,                     开放赎回,                     ,                     ,                     null,                     ,1.6039,2021-08-31,1.7725,1.7725,9.51,
2021-09-24,1.5978,1.5978,-0.38,                     null,                     ,                     1,                     开放申购,                     开放赎回,                     ,                     ,                     null,                     ,1.5978,2021-08-31,1.7725,1.7725,9.86,
2021-09-27,1.5416,1.5416,-3.52,                     null,                     ,                     1,                     开放申购,                     开放赎回,                     ,                     ,                     null,                     ,1.5416,2021-08-31,1.7725,1.7725,13.03,
2021-09-28,1.5793,1.5793,2.45,                     null,                     ,                     1,                     开放申购,                     开放赎回,                     ,                     ,                     null,                     ,1.5793,2021-08-31,1.7725,1.7725,10.9,
2021-09-29,1.5291,1.5291,-3.18,                     null,                     ,                     1,                     开放申购,                     开放赎回,                     ,                     ,                     null,                     ,1.5291,2021-08-31,1.7725,1.7725,13.73,
2021-09-30,1.5975,1.5975,4.47,                     null,                     ,                     1,                     开放申购,                     开放赎回,                     ,                     ,                     null,                     ,1.5975,2021-08-31,1.7725,1.7725,9.87,
2021-10-08,1.5195,1.5195,-4.88,                     null,                     ,                     1,                     开放申购,                     开放赎回,                     ,                     ,                     null,                     ,1.5195,2021-08-31,1.7725,1.7725,14.27,
2021-10-11,1.4808,1.4808,-2.55,                     null,                     ,                     1,                     开放申购,                     开放赎回,                     ,                     ,                     null,                     ,1.4808,2021-08-31,1.7725,1.7725,16.46,
2021-10-12,1.4668,1.4668,-0.95,                     null,                     ,                     1,                     开放申购,                     开放赎回,                     ,                     ,                     null,                     ,1.4668,2021-08-31,1.7725,1.7725,17.25,
2021-10-13,1.4533,1.4533,-0.92,                     null,                     ,                     1,                     开放申购,                     开放赎回,                     ,                     ,                     null,                     ,1.4533,2021-08-31,1.7725,1.7725,18.01,
2021-10-14,1.4632,1.4632,0.68,                     null,                     ,                     1,                     开放申购,                     开放赎回,                     ,                     ,                     null,                     ,1.4632,2021-08-31,1.7725,1.7725,17.45,
2021-10-15,1.4958,1.4958,2.23,                     null,                     ,                     1,                     开放申购,                     开放赎回,                     ,                     ,                     null,                     ,1.4958,2021-08-31,1.7725,1.7725,15.61,
2021-10-18,1.5266,1.5266,2.06,                     null,                     ,                     1,                     开放申购,                     开放赎回,                     ,                     ,                     null,                     ,1.5266,2021-08-31,1.7725,1.7725,13.87,
2021-10-19,1.5361,1.5361,0.62,                     null,                     ,                     1,                     开放申购,                     开放赎回,                     ,                     ,                     null,                     ,1.5361,2021-08-31,1.7725,1.7725,13.34,
