FSRQ, DWJZ, LJJZ, JZZZL, SDATE, ACTUALSYI, NAVTYPE, SGZT, SHZT, FHFCZ, FHFCBZ, DTYPE, FHSP, FQJZ, preHighFSRQ, preHighDWJZ, preHighLJJZ, withdraw, 
2015-10-28, 1.0, 1.0, 0.0,    null,    ,    1,    封闭期,    封闭期,    ,    ,    null,    , 1.0, 2015-10-28, 1.0, 1.0, 0.0, 
2015-10-30, 1.0, 1.0, 0.0,    null,    ,    1,    封闭期,    封闭期,    ,    ,    null,    , 1.0, 2015-10-28, 1.0, 1.0, 0.0, 
2015-11-06, 1.001, 1.001, 0.0,    null,    ,    1,    封闭期,    封闭期,    ,    ,    null,    , 1.001, 2015-11-06, 1.001, 1.001, 0.0, 
2015-11-13, 1.001, 1.001, 0.0,    null,    ,    1,    封闭期,    封闭期,    ,    ,    null,    , 1.001, 2015-11-06, 1.001, 1.001, 0.0, 
2015-11-20, 1.001, 1.001, 0.0,    null,    ,    1,    封闭期,    封闭期,    ,    ,    null,    , 1.001, 2015-11-06, 1.001, 1.001, 0.0, 
2015-11-27, 1.0, 1.0, 0.0,    null,    ,    1,    封闭期,    封闭期,    ,    ,    null,    , 1.0, 2015-11-06, 1.001, 1.001, 0.1, 
2015-12-04, 1.002, 1.002, 0.0,    null,    ,    1,    封闭期,    封闭期,    ,    ,    null,    , 1.002, 2015-12-04, 1.002, 1.002, 0.0, 
2015-12-11, 1.002, 1.002, 0.0,    null,    ,    1,    封闭期,    封闭期,    ,    ,    null,    , 1.002, 2015-12-04, 1.002, 1.002, 0.0, 
2015-12-18, 1.006, 1.006, 0.0,    null,    ,    1,    封闭期,    封闭期,    ,    ,    null,    , 1.006, 2015-12-18, 1.006, 1.006, 0.0, 
2015-12-25, 1.01, 1.01, 0.0,    null,    ,    1,    封闭期,    封闭期,    ,    ,    null,    , 1.01, 2015-12-25, 1.01, 1.01, 0.0, 
2015-12-31, 1.009, 1.009, 0.0,    null,    ,    1,    封闭期,    封闭期,    ,    ,    null,    , 1.009, 2015-12-25, 1.01, 1.01, 0.1, 
2016-01-08, 1.004, 1.004, 0.0,    null,    ,    1,    封闭期,    封闭期,    ,    ,    null,    , 1.004, 2015-12-25, 1.01, 1.01, 0.59, 
2016-01-15, 1.0, 1.0, 0.0,    null,    ,    1,    封闭期,    封闭期,    ,    ,    null,    , 1.0, 2015-12-25, 1.01, 1.01, 0.99, 
2016-01-22, 1.001, 1.001, 0.0,    null,    ,    1,    封闭期,    封闭期,    ,    ,    null,    , 1.001, 2015-12-25, 1.01, 1.01, 0.89, 
