FSRQ,DWJZ,LJJZ,JZZZL,SDATE,ACTUALSYI,NAVTYPE,SGZT,SHZT,FHFCZ,FHFCBZ,DTYPE,FHSP,FQJZ,preHighFSRQ,preHighDWJZ,preHighLJJZ,withdraw,
2015-06-19,1.0,1.0,0.0, null, , 1, 封闭期, 封闭期, , , null, ,1.0,2015-06-19,1.0,1.0,0.0,
2015-06-26,0.988,0.988,0.0, null, , 1, 封闭期, 封闭期, , , null, ,0.988,2015-06-19,1.0,1.0,1.2,
2015-06-30,0.991,0.991,0.0, null, , 1, 封闭期, 封闭期, , , null, ,0.991,2015-06-19,1.0,1.0,0.9,
2015-07-03,0.965,0.965,0.0, null, , 1, 封闭期, 封闭期, , , null, ,0.965,2015-06-19,1.0,1.0,3.5,
2015-07-10,0.988,0.988,0.0, null, , 1, 封闭期, 封闭期, , , null, ,0.988,2015-06-19,1.0,1.0,1.2,
2015-07-17,1.049,1.049,0.0, null, , 1, 封闭期, 封闭期, , , null, ,1.049,2015-07-17,1.049,1.049,0.0,
2015-07-20,1.068,1.068,1.81, null, , 1, 开放申购, 开放赎回, , , null, ,1.068,2015-07-20,1.068,1.068,0.0,
2015-07-21,1.079,1.079,1.03, null, , 1, 开放申购, 开放赎回, , , null, ,1.079,2015-07-21,1.079,1.079,0.0,
2015-07-22,1.086,1.086,0.65, null, , 1, 开放申购, 开放赎回, , , null, ,1.086,2015-07-22,1.086,1.086,0.0,
2015-07-23,1.11,1.11,2.21, null, , 1, 开放申购, 开放赎回, , , null, ,1.11,2015-07-23,1.11,1.11,0.0,
2015-07-24,1.106,1.106,-0.36, null, , 1, 开放申购, 开放赎回, , , null, ,1.106,2015-07-23,1.11,1.11,0.36,
2015-07-27,1.027,1.027,-7.14, null, , 1, 开放申购, 开放赎回, , , null, ,1.027,2015-07-23,1.11,1.11,7.48,
2015-07-28,0.984,0.984,-4.19, null, , 1, 开放申购, 开放赎回, , , null, ,0.984,2015-07-23,1.11,1.11,11.35,
2015-07-29,1.027,1.027,4.37, null, , 1, 开放申购, 开放赎回, , , null, ,1.027,2015-07-23,1.11,1.11,7.48,
2015-07-30,0.982,0.982,-4.38, null, , 1, 开放申购, 开放赎回, , , null, ,0.982,2015-07-23,1.11,1.11,11.53,
2015-07-31,0.95,0.95,-3.26, null, , 1, 开放申购, 开放赎回, , , null, ,0.95,2015-07-23,1.11,1.11,14.41,
2015-08-03,0.898,0.898,-5.47, null, , 1, 开放申购, 开放赎回, , , null, ,0.898,2015-07-23,1.11,1.11,19.1,
2015-08-04,0.954,0.954,6.24, null, , 1, 开放申购, 开放赎回, , , null, ,0.954,2015-07-23,1.11,1.11,14.05,
2015-08-05,0.936,0.936,-1.89, null, , 1, 开放申购, 开放赎回, , , null, ,0.936,2015-07-23,1.11,1.11,15.68,
2015-08-06,0.922,0.922,-1.5, null, , 1, 开放申购, 开放赎回, , , null, ,0.922,2015-07-23,1.11,1.11,16.94,
2015-08-07,0.965,0.965,4.66, null, , 1, 开放申购, 开放赎回, , , null, ,0.965,2015-07-23,1.11,1.11,13.06,
2015-08-10,1.024,1.024,6.11, null, , 1, 开放申购, 开放赎回, , , null, ,1.024,2015-07-23,1.11,1.11,7.75,
2015-08-11,1.033,1.033,0.88, null, , 1, 开放申购, 开放赎回, , , null, ,1.033,2015-07-23,1.11,1.11,6.94,
2015-08-12,1.011,1.011,-2.13, null, , 1, 开放申购, 开放赎回, , , null, ,1.011,2015-07-23,1.11,1.11,8.92,
2015-08-13,1.035,1.035,2.37, null, , 1, 开放申购, 开放赎回, , , null, ,1.035,2015-07-23,1.11,1.11,6.76,
2015-08-14,1.029,1.029,-0.58, null, , 1, 开放申购, 开放赎回, , , null, ,1.029,2015-07-23,1.11,1.11,7.3,
2015-08-17,1.03,1.03,0.1, null, , 1, 开放申购, 开放赎回, , , null, ,1.03,2015-07-23,1.11,1.11,7.21,
2015-08-18,0.956,0.956,-7.18, null, , 1, 开放申购, 开放赎回, , , null, ,0.956,2015-07-23,1.11,1.11,13.87,
2015-08-19,0.978,0.978,2.3, null, , 1, 开放申购, 开放赎回, , , null, ,0.978,2015-07-23,1.11,1.11,11.89,
2015-08-20,0.948,0.948,-3.07, null, , 1, 开放申购, 开放赎回, , , null, ,0.948,2015-07-23,1.11,1.11,14.59,
2015-08-21,0.89,0.89,-6.12, null, , 1, 开放申购, 开放赎回, , , null, ,0.89,2015-07-23,1.11,1.11,19.82,
2015-08-24,0.818,0.818,-8.09, null, , 1, 开放申购, 开放赎回, , , null, ,0.818,2015-07-23,1.11,1.11,26.31,
2015-08-25,0.752,0.752,-8.07, null, , 1, 开放申购, 开放赎回, , , null, ,0.752,2015-07-23,1.11,1.11,32.25,
2015-08-26,0.721,0.721,-4.12, null, , 1, 开放申购, 开放赎回, , , null, ,0.721,2015-07-23,1.11,1.11,35.05,
2015-08-27,0.748,0.748,3.74, null, , 1, 开放申购, 开放赎回, , , null, ,0.748,2015-07-23,1.11,1.11,32.61,
2015-08-28,0.799,0.799,6.82, null, , 1, 开放申购, 开放赎回, , , null, ,0.799,2015-07-23,1.11,1.11,28.02,
2015-08-31,0.769,0.769,-3.75, null, , 1, 开放申购, 开放赎回, , , null, ,0.769,2015-07-23,1.11,1.11,30.72,
2015-09-01,0.723,0.723,-5.98, null, , 1, 开放申购, 开放赎回, , , null, ,0.723,2015-07-23,1.11,1.11,34.86,
2015-09-02,0.707,0.707,-2.21, null, , 1, 开放申购, 开放赎回, , , null, ,0.707,2015-07-23,1.11,1.11,36.31,
2015-09-07,0.713,0.713,0.85, null, , 1, 开放申购, 开放赎回, , , null, ,0.713,2015-07-23,1.11,1.11,35.77,
2015-09-08,0.745,0.745,4.49, null, , 1, 开放申购, 开放赎回, , , null, ,0.745,2015-07-23,1.11,1.11,32.88,
2015-09-09,0.775,0.775,4.03, null, , 1, 开放申购, 开放赎回, , , null, ,0.775,2015-07-23,1.11,1.11,30.18,
2015-09-10,0.765,0.765,-1.29, null, , 1, 开放申购, 开放赎回, , , null, ,0.765,2015-07-23,1.11,1.11,31.08,
2015-09-11,0.771,0.771,0.78, null, , 1, 开放申购, 开放赎回, , , null, ,0.771,2015-07-23,1.11,1.11,30.54,
2015-09-14,0.72,0.72,-6.61, null, , 1, 开放申购, 开放赎回, , , null, ,0.72,2015-07-23,1.11,1.11,35.14,
2015-09-15,0.684,0.684,-5.0, null, , 1, 开放申购, 开放赎回, , , null, ,0.684,2015-07-23,1.11,1.11,38.38,
2015-09-16,0.731,0.731,6.87, null, , 1, 开放申购, 开放赎回, , , null, ,0.731,2015-07-23,1.11,1.11,34.14,
2015-09-17,0.727,0.727,-0.55, null, , 1, 开放申购, 开放赎回, , , null, ,0.727,2015-07-23,1.11,1.11,34.5,
2015-09-18,0.743,0.743,2.2, null, , 1, 开放申购, 开放赎回, , , null, ,0.743,2015-07-23,1.11,1.11,33.06,
2015-09-21,0.783,0.783,5.38, null, , 1, 开放申购, 开放赎回, , , null, ,0.783,2015-07-23,1.11,1.11,29.46,
2015-09-22,0.787,0.787,0.51, null, , 1, 开放申购, 开放赎回, , , null, ,0.787,2015-07-23,1.11,1.11,29.1,
2015-09-23,0.787,0.787,0.0, null, , 1, 开放申购, 开放赎回, , , null, ,0.787,2015-07-23,1.11,1.11,29.1,
2015-09-24,0.797,0.797,1.27, null, , 1, 开放申购, 开放赎回, , , null, ,0.797,2015-07-23,1.11,1.11,28.2,
2015-09-25,0.765,0.765,-4.02, null, , 1, 开放申购, 开放赎回, , , null, ,0.765,2015-07-23,1.11,1.11,31.08,
2015-09-28,0.8,0.8,4.58, null, , 1, 开放申购, 开放赎回, , , null, ,0.8,2015-07-23,1.11,1.11,27.93,
2015-09-29,0.796,0.796,-0.5, null, , 1, 开放申购, 开放赎回, , , null, ,0.796,2015-07-23,1.11,1.11,28.29,
2015-09-30,0.795,0.795,-0.13, null, , 1, 开放申购, 开放赎回, , , null, ,0.795,2015-07-23,1.11,1.11,28.38,
2015-10-08,0.829,0.829,4.28, null, , 1, 开放申购, 开放赎回, , , null, ,0.829,2015-07-23,1.11,1.11,25.32,
2015-10-09,0.84,0.84,1.33, null, , 1, 开放申购, 开放赎回, , , null, ,0.84,2015-07-23,1.11,1.11,24.32,
2015-10-12,0.87,0.87,3.57, null, , 1, 开放申购, 开放赎回, , , null, ,0.87,2015-07-23,1.11,1.11,21.62,
2015-10-13,0.883,0.883,1.49, null, , 1, 开放申购, 开放赎回, , , null, ,0.883,2015-07-23,1.11,1.11,20.45,
2015-10-14,0.87,0.87,-1.47, null, , 1, 开放申购, 开放赎回, , , null, ,0.87,2015-07-23,1.11,1.11,21.62,
2015-10-15,0.903,0.903,3.79, null, , 1, 开放申购, 开放赎回, , , null, ,0.903,2015-07-23,1.11,1.11,18.65,
2015-10-16,0.92,0.92,1.88, null, , 1, 开放申购, 开放赎回, , , null, ,0.92,2015-07-23,1.11,1.11,17.12,
2015-10-19,0.917,0.917,-0.33, null, , 1, 开放申购, 开放赎回, , , null, ,0.917,2015-07-23,1.11,1.11,17.39,
2015-10-20,0.945,0.945,3.05, null, , 1, 开放申购, 开放赎回, , , null, ,0.945,2015-07-23,1.11,1.11,14.86,
2015-10-21,0.884,0.884,-6.46, null, , 1, 开放申购, 开放赎回, , , null, ,0.884,2015-07-23,1.11,1.11,20.36,
2015-10-22,0.923,0.923,4.41, null, , 1, 开放申购, 开放赎回, , , null, ,0.923,2015-07-23,1.11,1.11,16.85,
2015-10-23,0.948,0.948,2.71, null, , 1, 开放申购, 开放赎回, , , null, ,0.948,2015-07-23,1.11,1.11,14.59,
2015-10-26,0.946,0.946,-0.21, null, , 1, 开放申购, 开放赎回, , , null, ,0.946,2015-07-23,1.11,1.11,14.77,
2015-10-27,0.957,0.957,1.16, null, , 1, 开放申购, 开放赎回, , , null, ,0.957,2015-07-23,1.11,1.11,13.78,
2015-10-28,0.934,0.934,-2.4, null, , 1, 开放申购, 开放赎回, , , null, ,0.934,2015-07-23,1.11,1.11,15.86,
2015-10-29,0.941,0.941,0.75, null, , 1, 开放申购, 开放赎回, , , null, ,0.941,2015-07-23,1.11,1.11,15.23,
2015-10-30,0.946,0.946,0.53, null, , 1, 开放申购, 开放赎回, , , null, ,0.946,2015-07-23,1.11,1.11,14.77,
2015-11-02,0.928,0.928,-1.9, null, , 1, 开放申购, 开放赎回, , , null, ,0.928,2015-07-23,1.11,1.11,16.4,
2015-11-03,0.926,0.926,-0.22, null, , 1, 开放申购, 开放赎回, , , null, ,0.926,2015-07-23,1.11,1.11,16.58,
2015-11-04,0.977,0.977,5.51, null, , 1, 开放申购, 开放赎回, , , null, ,0.977,2015-07-23,1.11,1.11,11.98,
2015-11-05,0.975,0.975,-0.2, null, , 1, 开放申购, 开放赎回, , , null, ,0.975,2015-07-23,1.11,1.11,12.16,
2015-11-06,1.015,1.015,4.1, null, , 1, 开放申购, 开放赎回, , , null, ,1.015,2015-07-23,1.11,1.11,8.56,
2015-11-09,1.044,1.044,2.86, null, , 1, 开放申购, 开放赎回, , , null, ,1.044,2015-07-23,1.11,1.11,5.95,
2015-11-10,1.064,1.064,1.92, null, , 1, 开放申购, 开放赎回, , , null, ,1.064,2015-07-23,1.11,1.11,4.14,
2015-11-11,1.082,1.082,1.69, null, , 1, 开放申购, 开放赎回, , , null, ,1.082,2015-07-23,1.11,1.11,2.52,
2015-11-12,1.076,1.076,-0.55, null, , 1, 开放申购, 开放赎回, , , null, ,1.076,2015-07-23,1.11,1.11,3.06,
2015-11-13,1.044,1.044,-2.97, null, , 1, 开放申购, 开放赎回, , , null, ,1.044,2015-07-23,1.11,1.11,5.95,
2015-11-16,1.07,1.07,2.49, null, , 1, 开放申购, 开放赎回, , , null, ,1.07,2015-07-23,1.11,1.11,3.6,
2015-11-17,1.052,1.052,-1.68, null, , 1, 开放申购, 开放赎回, , , null, ,1.052,2015-07-23,1.11,1.11,5.23,
2015-11-18,1.031,1.031,-2.0, null, , 1, 开放申购, 开放赎回, , , null, ,1.031,2015-07-23,1.11,1.11,7.12,
2015-11-19,1.07,1.07,3.78, null, , 1, 开放申购, 开放赎回, , , null, ,1.07,2015-07-23,1.11,1.11,3.6,
2015-11-20,1.084,1.084,1.31, null, , 1, 开放申购, 开放赎回, , , null, ,1.084,2015-07-23,1.11,1.11,2.34,
2015-11-23,1.074,1.074,-0.92, null, , 1, 开放申购, 开放赎回, , , null, ,1.074,2015-07-23,1.11,1.11,3.24,
2015-11-24,1.087,1.087,1.21, null, , 1, 开放申购, 开放赎回, , , null, ,1.087,2015-07-23,1.11,1.11,2.07,
2015-11-25,1.114,1.114,2.48, null, , 1, 开放申购, 开放赎回, , , null, ,1.114,2015-11-25,1.114,1.114,0.0,
2015-11-26,1.097,1.097,-1.53, null, , 1, 开放申购, 开放赎回, , , null, ,1.097,2015-11-25,1.114,1.114,1.53,
2015-11-27,1.039,1.039,-5.29, null, , 1, 开放申购, 开放赎回, , , null, ,1.039,2015-11-25,1.114,1.114,6.73,
2015-11-30,1.043,1.043,0.39, null, , 1, 开放申购, 开放赎回, , , null, ,1.043,2015-11-25,1.114,1.114,6.37,
2015-12-01,1.033,1.033,-0.96, null, , 1, 开放申购, 开放赎回, , , null, ,1.033,2015-11-25,1.114,1.114,7.27,
2015-12-02,1.021,1.021,-1.16, null, , 1, 开放申购, 开放赎回, , , null, ,1.021,2015-11-25,1.114,1.114,8.35,
2015-12-03,1.051,1.051,2.94, null, , 1, 开放申购, 开放赎回, , , null, ,1.051,2015-11-25,1.114,1.114,5.66,
2015-12-04,1.049,1.049,-0.19, null, , 1, 开放申购, 开放赎回, , , null, ,1.049,2015-11-25,1.114,1.114,5.83,
2015-12-07,1.073,1.073,2.29, null, , 1, 开放申购, 开放赎回, , , null, ,1.073,2015-11-25,1.114,1.114,3.68,
2015-12-08,1.063,1.063,-0.93, null, , 1, 开放申购, 开放赎回, , , null, ,1.063,2015-11-25,1.114,1.114,4.58,
2015-12-09,1.055,1.055,-0.75, null, , 1, 开放申购, 开放赎回, , , null, ,1.055,2015-11-25,1.114,1.114,5.3,
2015-12-10,1.059,1.059,0.38, null, , 1, 开放申购, 开放赎回, , , null, ,1.059,2015-11-25,1.114,1.114,4.94,
2015-12-11,1.054,1.054,-0.47, null, , 1, 开放申购, 开放赎回, , , null, ,1.054,2015-11-25,1.114,1.114,5.39,
2015-12-14,1.067,1.067,1.23, null, , 1, 开放申购, 开放赎回, , , null, ,1.067,2015-11-25,1.114,1.114,4.22,
2015-12-15,1.089,1.089,2.06, null, , 1, 开放申购, 开放赎回, , , null, ,1.089,2015-11-25,1.114,1.114,2.24,
2015-12-16,1.099,1.099,0.92, null, , 1, 开放申购, 开放赎回, , , null, ,1.099,2015-11-25,1.114,1.114,1.35,
2015-12-17,1.124,1.124,2.27, null, , 1, 开放申购, 开放赎回, , , null, ,1.124,2015-12-17,1.124,1.124,0.0,
2015-12-18,1.125,1.125,0.09, null, , 1, 开放申购, 开放赎回, , , null, ,1.125,2015-12-18,1.125,1.125,0.0,
2015-12-21,1.122,1.122,-0.27, null, , 1, 开放申购, 开放赎回, , , null, ,1.122,2015-12-18,1.125,1.125,0.27,
2015-12-22,1.129,1.129,0.62, null, , 1, 开放申购, 开放赎回, , , null, ,1.129,2015-12-22,1.129,1.129,0.0,
2015-12-23,1.101,1.101,-2.48, null, , 1, 开放申购, 开放赎回, , , null, ,1.101,2015-12-22,1.129,1.129,2.48,
2015-12-24,1.104,1.104,0.27, null, , 1, 开放申购, 开放赎回, , , null, ,1.104,2015-12-22,1.129,1.129,2.21,
2015-12-25,1.106,1.106,0.18, null, , 1, 开放申购, 开放赎回, , , null, ,1.106,2015-12-22,1.129,1.129,2.04,
2015-12-28,1.09,1.09,-1.45, null, , 1, 开放申购, 开放赎回, , , null, ,1.09,2015-12-22,1.129,1.129,3.45,
2015-12-29,1.096,1.096,0.55, null, , 1, 开放申购, 开放赎回, , , null, ,1.096,2015-12-22,1.129,1.129,2.92,
2015-12-30,1.116,1.116,1.82, null, , 1, 开放申购, 开放赎回, , , null, ,1.116,2015-12-22,1.129,1.129,1.15,
2015-12-31,1.087,1.087,-2.6, null, , 1, 开放申购, 开放赎回, , , null, ,1.087,2015-12-22,1.129,1.129,3.72,
2016-01-04,1.006,1.006,-7.45, null, , 1, 开放申购, 开放赎回, , , null, ,1.006,2015-12-22,1.129,1.129,10.89,
