FSRQ,DWJZ,LJJZ,JZZZL,SDATE,ACTUALSYI,NAVTYPE,SGZT,SHZT,FHFCZ,FHFCBZ,DTYPE,FHSP,FQJZ,preHighFSRQ,preHighDWJZ,preHighLJJZ,withdraw,
2017-06-02,1.0,1.0,0.0,            null,            ,            1,            封闭期,            封闭期,            ,            ,            null,            ,1.0,2017-06-02,1.0,1.0,0.0,
2017-06-09,1.0,1.0,0.0,            null,            ,            1,            封闭期,            封闭期,            ,            ,            null,            ,1.0,2017-06-02,1.0,1.0,0.0,
2017-06-16,1.0,1.0,0.0,            null,            ,            1,            封闭期,            封闭期,            ,            ,            null,            ,1.0,2017-06-02,1.0,1.0,0.0,
2017-06-19,1.0,1.0,0.0,            null,            ,            1,            封闭期,            封闭期,            ,            ,            null,            ,1.0,2017-06-02,1.0,1.0,0.0,
2017-06-20,1.0,1.0,0.0,            null,            ,            1,            开放申购,            开放赎回,            ,            ,            null,            ,1.0,2017-06-02,1.0,1.0,0.0,
2017-06-21,1.001,1.001,0.1,            null,            ,            1,            开放申购,            开放赎回,            ,            ,            null,            ,1.001,2017-06-21,1.001,1.001,0.0,
2017-06-22,1.001,1.001,0.0,            null,            ,            1,            开放申购,            开放赎回,            ,            ,            null,            ,1.001,2017-06-21,1.001,1.001,0.0,
2017-06-23,1.001,1.001,0.0,            null,            ,            1,            开放申购,            开放赎回,            ,            ,            null,            ,1.001,2017-06-21,1.001,1.001,0.0,
2017-06-26,1.001,1.001,0.0,            null,            ,            1,            开放申购,            开放赎回,            ,            ,            null,            ,1.001,2017-06-21,1.001,1.001,0.0,
2017-06-27,1.002,1.002,0.1,            null,            ,            1,            开放申购,            开放赎回,            ,            ,            null,            ,1.002,2017-06-27,1.002,1.002,0.0,
2017-06-28,1.002,1.002,0.0,            null,            ,            1,            开放申购,            开放赎回,            ,            ,            null,            ,1.002,2017-06-27,1.002,1.002,0.0,
2017-06-29,1.002,1.002,0.0,            null,            ,            1,            开放申购,            开放赎回,            ,            ,            null,            ,1.002,2017-06-27,1.002,1.002,0.0,
2017-06-30,1.002,1.002,0.0,            null,            ,            1,            开放申购,            开放赎回,            ,            ,            null,            ,1.002,2017-06-27,1.002,1.002,0.0,
2017-07-03,1.003,1.003,0.1,            null,            ,            1,            开放申购,            开放赎回,            ,            ,            null,            ,1.003,2017-07-03,1.003,1.003,0.0,
2017-07-04,1.003,1.003,0.0,            null,            ,            1,            开放申购,            开放赎回,            ,            ,            null,            ,1.003,2017-07-03,1.003,1.003,0.0,
2017-07-05,1.003,1.003,0.0,            null,            ,            1,            开放申购,            开放赎回,            ,            ,            null,            ,1.003,2017-07-03,1.003,1.003,0.0,
2017-07-06,1.004,1.004,0.1,            null,            ,            1,            开放申购,            开放赎回,            ,            ,            null,            ,1.004,2017-07-06,1.004,1.004,0.0,
2017-07-07,1.004,1.004,0.0,            null,            ,            1,            开放申购,            开放赎回,            ,            ,            null,            ,1.004,2017-07-06,1.004,1.004,0.0,
2017-07-10,1.004,1.004,0.0,            null,            ,            1,            开放申购,            开放赎回,            ,            ,            null,            ,1.004,2017-07-06,1.004,1.004,0.0,
2017-07-11,1.004,1.004,0.0,            null,            ,            1,            开放申购,            开放赎回,            ,            ,            null,            ,1.004,2017-07-06,1.004,1.004,0.0,
2017-07-12,1.004,1.004,0.0,            null,            ,            1,            开放申购,            开放赎回,            ,            ,            null,            ,1.004,2017-07-06,1.004,1.004,0.0,
2017-07-13,1.004,1.004,0.0,            null,            ,            1,            开放申购,            开放赎回,            ,            ,            null,            ,1.004,2017-07-06,1.004,1.004,0.0,
2017-07-14,1.004,1.004,0.0,            null,            ,            1,            开放申购,            开放赎回,            ,            ,            null,            ,1.004,2017-07-06,1.004,1.004,0.0,
2017-07-17,1.004,1.004,0.0,            null,            ,            1,            开放申购,            开放赎回,            ,            ,            null,            ,1.004,2017-07-06,1.004,1.004,0.0,
2017-07-18,1.004,1.004,0.0,            null,            ,            1,            开放申购,            开放赎回,            ,            ,            null,            ,1.004,2017-07-06,1.004,1.004,0.0,
2017-07-19,1.005,1.005,0.1,            null,            ,            1,            开放申购,            开放赎回,            ,            ,            null,            ,1.005,2017-07-19,1.005,1.005,0.0,
2017-07-20,1.006,1.006,0.1,            null,            ,            1,            开放申购,            开放赎回,            ,            ,            null,            ,1.006,2017-07-20,1.006,1.006,0.0,
2017-07-21,1.005,1.005,-0.1,            null,            ,            1,            开放申购,            开放赎回,            ,            ,            null,            ,1.005,2017-07-20,1.006,1.006,0.1,
2017-07-24,1.005,1.005,0.0,            null,            ,            1,            开放申购,            开放赎回,            ,            ,            null,            ,1.005,2017-07-20,1.006,1.006,0.1,
2017-07-25,1.004,1.004,-0.1,            null,            ,            1,            开放申购,            开放赎回,            ,            ,            null,            ,1.004,2017-07-20,1.006,1.006,0.2,
2017-07-26,1.007,1.007,0.3,            null,            ,            1,            开放申购,            开放赎回,            ,            ,            null,            ,1.007,2017-07-26,1.007,1.007,0.0,
2017-07-27,1.011,1.011,0.4,            null,            ,            1,            开放申购,            开放赎回,            ,            ,            null,            ,1.011,2017-07-27,1.011,1.011,0.0,
2017-07-28,1.014,1.014,0.3,            null,            ,            1,            开放申购,            开放赎回,            ,            ,            null,            ,1.014,2017-07-28,1.014,1.014,0.0,
2017-07-31,1.019,1.019,0.49,            null,            ,            1,            开放申购,            开放赎回,            ,            ,            null,            ,1.019,2017-07-31,1.019,1.019,0.0,
2017-08-01,1.019,1.019,0.0,            null,            ,            1,            开放申购,            开放赎回,            ,            ,            null,            ,1.019,2017-07-31,1.019,1.019,0.0,
2017-08-02,1.018,1.018,-0.1,            null,            ,            1,            开放申购,            开放赎回,            ,            ,            null,            ,1.018,2017-07-31,1.019,1.019,0.1,
2017-08-03,1.02,1.02,0.2,            null,            ,            1,            开放申购,            开放赎回,            ,            ,            null,            ,1.02,2017-08-03,1.02,1.02,0.0,
2017-08-04,1.016,1.016,-0.39,            null,            ,            1,            开放申购,            开放赎回,            ,            ,            null,            ,1.016,2017-08-03,1.02,1.02,0.39,
2017-08-07,1.019,1.019,0.3,            null,            ,            1,            开放申购,            开放赎回,            ,            ,            null,            ,1.019,2017-08-03,1.02,1.02,0.1,
2017-08-08,1.018,1.018,-0.1,            null,            ,            1,            开放申购,            开放赎回,            ,            ,            null,            ,1.018,2017-08-03,1.02,1.02,0.2,
2017-08-09,1.018,1.018,0.0,            null,            ,            1,            开放申购,            开放赎回,            ,            ,            null,            ,1.018,2017-08-03,1.02,1.02,0.2,
2017-08-10,1.018,1.018,0.0,            null,            ,            1,            开放申购,            开放赎回,            ,            ,            null,            ,1.018,2017-08-03,1.02,1.02,0.2,
2017-08-11,1.017,1.017,-0.1,            null,            ,            1,            开放申购,            开放赎回,            ,            ,            null,            ,1.017,2017-08-03,1.02,1.02,0.29,
2017-08-14,1.021,1.021,0.39,            null,            ,            1,            开放申购,            开放赎回,            ,            ,            null,            ,1.021,2017-08-14,1.021,1.021,0.0,
2017-08-15,1.022,1.022,0.1,            null,            ,            1,            开放申购,            开放赎回,            ,            ,            null,            ,1.022,2017-08-15,1.022,1.022,0.0,
2017-08-16,1.02,1.02,-0.2,            null,            ,            1,            开放申购,            开放赎回,            ,            ,            null,            ,1.02,2017-08-15,1.022,1.022,0.2,
2017-08-17,1.02,1.02,0.0,            null,            ,            1,            开放申购,            开放赎回,            ,            ,            null,            ,1.02,2017-08-15,1.022,1.022,0.2,
2017-08-18,1.019,1.019,-0.1,            null,            ,            1,            开放申购,            开放赎回,            ,            ,            null,            ,1.019,2017-08-15,1.022,1.022,0.29,
2017-08-21,1.02,1.02,0.1,            null,            ,            1,            开放申购,            开放赎回,            ,            ,            null,            ,1.02,2017-08-15,1.022,1.022,0.2,
2017-08-22,1.018,1.018,-0.2,            null,            ,            1,            开放申购,            开放赎回,            ,            ,            null,            ,1.018,2017-08-15,1.022,1.022,0.39,
2017-08-23,1.018,1.018,0.0,            null,            ,            1,            开放申购,            开放赎回,            ,            ,            null,            ,1.018,2017-08-15,1.022,1.022,0.39,
2017-08-24,1.018,1.018,0.0,            null,            ,            1,            开放申购,            开放赎回,            ,            ,            null,            ,1.018,2017-08-15,1.022,1.022,0.39,
2017-08-25,1.02,1.02,0.2,            null,            ,            1,            开放申购,            开放赎回,            ,            ,            null,            ,1.02,2017-08-15,1.022,1.022,0.2,
2017-08-28,1.023,1.023,0.29,            null,            ,            1,            开放申购,            开放赎回,            ,            ,            null,            ,1.023,2017-08-28,1.023,1.023,0.0,
2017-08-29,1.025,1.025,0.2,            null,            ,            1,            开放申购,            开放赎回,            ,            ,            null,            ,1.025,2017-08-29,1.025,1.025,0.0,
2017-08-30,1.023,1.023,-0.2,            null,            ,            1,            开放申购,            开放赎回,            ,            ,            null,            ,1.023,2017-08-29,1.025,1.025,0.2,
2017-08-31,1.022,1.022,-0.1,            null,            ,            1,            开放申购,            开放赎回,            ,            ,            null,            ,1.022,2017-08-29,1.025,1.025,0.29,
2017-09-01,1.024,1.024,0.2,            null,            ,            1,            开放申购,            开放赎回,            ,            ,            null,            ,1.024,2017-08-29,1.025,1.025,0.1,
2017-09-04,1.03,1.03,0.59,            null,            ,            1,            开放申购,            开放赎回,            ,            ,            null,            ,1.03,2017-09-04,1.03,1.03,0.0,
2017-09-05,1.03,1.03,0.0,            null,            ,            1,            开放申购,            开放赎回,            ,            ,            null,            ,1.03,2017-09-04,1.03,1.03,0.0,
2017-09-06,1.031,1.031,0.1,            null,            ,            1,            开放申购,            开放赎回,            ,            ,            null,            ,1.031,2017-09-06,1.031,1.031,0.0,
2017-09-07,1.027,1.027,-0.39,            null,            ,            1,            开放申购,            开放赎回,            ,            ,            null,            ,1.027,2017-09-06,1.031,1.031,0.39,
2017-09-08,1.03,1.03,0.29,            null,            ,            1,            开放申购,            开放赎回,            ,            ,            null,            ,1.03,2017-09-06,1.031,1.031,0.1,
2017-09-11,1.038,1.038,0.78,            null,            ,            1,            开放申购,            开放赎回,            ,            ,            null,            ,1.038,2017-09-11,1.038,1.038,0.0,
2017-09-12,1.036,1.036,-0.19,            null,            ,            1,            开放申购,            开放赎回,            ,            ,            null,            ,1.036,2017-09-11,1.038,1.038,0.19,
2017-09-13,1.04,1.04,0.39,            null,            ,            1,            开放申购,            开放赎回,            ,            ,            null,            ,1.04,2017-09-13,1.04,1.04,0.0,
2017-09-14,1.038,1.038,-0.19,            null,            ,            1,            开放申购,            开放赎回,            ,            ,            null,            ,1.038,2017-09-13,1.04,1.04,0.19,
2017-09-15,1.035,1.035,-0.29,            null,            ,            1,            开放申购,            开放赎回,            ,            ,            null,            ,1.035,2017-09-13,1.04,1.04,0.48,
2017-09-18,1.041,1.041,0.58,            null,            ,            1,            开放申购,            开放赎回,            ,            ,            null,            ,1.041,2017-09-18,1.041,1.041,0.0,
2017-09-19,1.041,1.041,0.0,            null,            ,            1,            开放申购,            开放赎回,            ,            ,            null,            ,1.041,2017-09-18,1.041,1.041,0.0,
2017-09-20,1.044,1.044,0.29,            null,            ,            1,            开放申购,            开放赎回,            ,            ,            null,            ,1.044,2017-09-20,1.044,1.044,0.0,
2017-09-21,1.035,1.035,-0.86,            null,            ,            1,            开放申购,            开放赎回,            ,            ,            null,            ,1.035,2017-09-20,1.044,1.044,0.86,
2017-09-22,1.033,1.033,-0.19,            null,            ,            1,            开放申购,            开放赎回,            ,            ,            null,            ,1.033,2017-09-20,1.044,1.044,1.05,
2017-09-25,1.025,1.025,-0.77,            null,            ,            1,            开放申购,            开放赎回,            ,            ,            null,            ,1.025,2017-09-20,1.044,1.044,1.82,
2017-09-26,1.024,1.024,-0.1,            null,            ,            1,            开放申购,            开放赎回,            ,            ,            null,            ,1.024,2017-09-20,1.044,1.044,1.92,
2017-09-27,1.031,1.031,0.68,            null,            ,            1,            开放申购,            开放赎回,            ,            ,            null,            ,1.031,2017-09-20,1.044,1.044,1.25,
