FSRQ,DWJZ,LJJZ,JZZZL,SDATE,ACTUALSYI,NAVTYPE,SGZT,SHZT,FHFCZ,FHFCBZ,DTYPE,FHSP,FQJZ,preHighFSRQ,preHighDWJZ,preHighLJJZ,withdraw,
2015-06-16,1.0,1.0,0.0,null,,1,封闭期,封闭期,,,null,,1.0,2015-06-16,1.0,1.0,0.0,
2015-06-19,0.986,0.986,0.0,null,,1,封闭期,封闭期,,,null,,0.986,2015-06-16,1.0,1.0,1.4,
2015-06-26,0.972,0.972,0.0,null,,1,封闭期,封闭期,,,null,,0.972,2015-06-16,1.0,1.0,2.8,
2015-06-30,0.971,0.971,0.0,null,,1,封闭期,封闭期,,,null,,0.971,2015-06-16,1.0,1.0,2.9,
2015-07-03,0.954,0.954,0.0,null,,1,封闭期,封闭期,,,null,,0.954,2015-06-16,1.0,1.0,4.6,
2015-07-10,0.953,0.953,0.0,null,,1,封闭期,封闭期,,,null,,0.953,2015-06-16,1.0,1.0,4.7,
2015-07-17,0.954,0.954,0.0,null,,1,封闭期,封闭期,,,null,,0.954,2015-06-16,1.0,1.0,4.6,
2015-07-24,0.961,0.961,0.0,null,,1,封闭期,封闭期,,,null,,0.961,2015-06-16,1.0,1.0,3.9,
2015-07-31,0.954,0.954,0.0,null,,1,封闭期,封闭期,,,null,,0.954,2015-06-16,1.0,1.0,4.6,
2015-08-07,0.954,0.954,0.0,null,,1,封闭期,封闭期,,,null,,0.954,2015-06-16,1.0,1.0,4.6,
2015-08-14,0.961,0.961,0.0,null,,1,封闭期,封闭期,,,null,,0.961,2015-06-16,1.0,1.0,3.9,
2015-08-21,0.951,0.951,0.0,null,,1,封闭期,封闭期,,,null,,0.951,2015-06-16,1.0,1.0,4.9,
2015-08-28,0.948,0.948,0.0,null,,1,封闭期,封闭期,,,null,,0.948,2015-06-16,1.0,1.0,5.2,
2015-09-02,0.938,0.938,0.0,null,,1,封闭期,封闭期,,,null,,0.938,2015-06-16,1.0,1.0,6.2,
2015-09-11,0.951,0.951,0.0,null,,1,封闭期,封闭期,,,null,,0.951,2015-06-16,1.0,1.0,4.9,
2015-09-14,0.942,0.942,-0.95,null,,1,封闭期,封闭期,,,null,,0.942,2015-06-16,1.0,1.0,5.8,
2015-09-15,0.936,0.936,-0.64,null,,1,开放申购,开放赎回,,,null,,0.936,2015-06-16,1.0,1.0,6.4,
2015-09-16,0.945,0.945,0.96,null,,1,开放申购,开放赎回,,,null,,0.945,2015-06-16,1.0,1.0,5.5,
2015-09-17,0.941,0.941,-0.42,null,,1,开放申购,开放赎回,,,null,,0.941,2015-06-16,1.0,1.0,5.9,
2015-09-18,0.945,0.945,0.43,null,,1,开放申购,开放赎回,,,null,,0.945,2015-06-16,1.0,1.0,5.5,
2015-09-21,0.953,0.953,0.85,null,,1,开放申购,开放赎回,,,null,,0.953,2015-06-16,1.0,1.0,4.7,
2015-09-22,0.954,0.954,0.1,null,,1,开放申购,开放赎回,,,null,,0.954,2015-06-16,1.0,1.0,4.6,
2015-09-23,0.952,0.952,-0.21,null,,1,开放申购,开放赎回,,,null,,0.952,2015-06-16,1.0,1.0,4.8,
2015-09-24,0.956,0.956,0.42,null,,1,开放申购,开放赎回,,,null,,0.956,2015-06-16,1.0,1.0,4.4,
2015-09-25,0.938,0.938,-1.88,null,,1,开放申购,开放赎回,,,null,,0.938,2015-06-16,1.0,1.0,6.2,
2015-09-28,0.944,0.944,0.64,null,,1,开放申购,开放赎回,,,null,,0.944,2015-06-16,1.0,1.0,5.6,
2015-09-29,0.939,0.939,-0.53,null,,1,开放申购,开放赎回,,,null,,0.939,2015-06-16,1.0,1.0,6.1,
2015-09-30,0.941,0.941,0.21,null,,1,开放申购,开放赎回,,,null,,0.941,2015-06-16,1.0,1.0,5.9,
2015-10-08,0.952,0.952,1.17,null,,1,开放申购,开放赎回,,,null,,0.952,2015-06-16,1.0,1.0,4.8,
2015-10-09,0.957,0.957,0.53,null,,1,开放申购,开放赎回,,,null,,0.957,2015-06-16,1.0,1.0,4.3,
2015-10-12,0.971,0.971,1.46,null,,1,开放申购,开放赎回,,,null,,0.971,2015-06-16,1.0,1.0,2.9,
2015-10-13,0.977,0.977,0.62,null,,1,开放申购,开放赎回,,,null,,0.977,2015-06-16,1.0,1.0,2.3,
2015-10-14,0.97,0.97,-0.72,null,,1,开放申购,开放赎回,,,null,,0.97,2015-06-16,1.0,1.0,3.0,
2015-10-15,0.982,0.982,1.24,null,,1,开放申购,开放赎回,,,null,,0.982,2015-06-16,1.0,1.0,1.8,
2015-10-16,0.981,0.981,-0.1,null,,1,开放申购,开放赎回,,,null,,0.981,2015-06-16,1.0,1.0,1.9,
2015-10-19,0.983,0.983,0.2,null,,1,开放申购,开放赎回,,,null,,0.983,2015-06-16,1.0,1.0,1.7,
2015-10-20,0.988,0.988,0.51,null,,1,开放申购,开放赎回,,,null,,0.988,2015-06-16,1.0,1.0,1.2,
2015-10-21,0.953,0.953,-3.54,null,,1,开放申购,开放赎回,,,null,,0.953,2015-06-16,1.0,1.0,4.7,
2015-10-22,0.96,0.96,0.73,null,,1,开放申购,开放赎回,,,null,,0.96,2015-06-16,1.0,1.0,4.0,
2015-10-23,0.967,0.967,0.73,null,,1,开放申购,开放赎回,,,null,,0.967,2015-06-16,1.0,1.0,3.3,
2015-10-26,0.971,0.971,0.41,null,,1,开放申购,开放赎回,,,null,,0.971,2015-06-16,1.0,1.0,2.9,
2015-10-27,0.971,0.971,0.0,null,,1,开放申购,开放赎回,,,null,,0.971,2015-06-16,1.0,1.0,2.9,
2015-10-28,0.968,0.968,-0.31,null,,1,开放申购,开放赎回,,,null,,0.968,2015-06-16,1.0,1.0,3.2,
2015-10-29,0.97,0.97,0.21,null,,1,开放申购,开放赎回,,,null,,0.97,2015-06-16,1.0,1.0,3.0,
2015-10-30,0.969,0.969,-0.1,null,,1,开放申购,开放赎回,,,null,,0.969,2015-06-16,1.0,1.0,3.1,
2015-11-02,0.967,0.967,-0.21,null,,1,开放申购,开放赎回,,,null,,0.967,2015-06-16,1.0,1.0,3.3,
2015-11-03,0.966,0.966,-0.1,null,,1,开放申购,开放赎回,,,null,,0.966,2015-06-16,1.0,1.0,3.4,
2015-11-04,0.976,0.976,1.04,null,,1,开放申购,开放赎回,,,null,,0.976,2015-06-16,1.0,1.0,2.4,
2015-11-05,0.978,0.978,0.2,null,,1,开放申购,开放赎回,,,null,,0.978,2015-06-16,1.0,1.0,2.2,
2015-11-06,0.983,0.983,0.51,null,,1,开放申购,开放赎回,,,null,,0.983,2015-06-16,1.0,1.0,1.7,
2015-11-09,0.984,0.984,0.1,null,,1,开放申购,开放赎回,,,null,,0.984,2015-06-16,1.0,1.0,1.6,
