FSRQ, DWJZ, LJJZ, JZZZL, SDATE, ACTUALSYI, NAVTYPE, SGZT, SHZT, FHFCZ, FHFCBZ, DTYPE, FHSP, FQJZ, preHighFSRQ, preHighDWJZ, preHighLJJZ, withdraw, 
2010-06-08, 1.0, 1.0, 0.0,        null,        ,        1,        封闭期,        封闭期,        ,        ,        null,        , 1.0, 2010-06-08, 1.0, 1.0, 0.0, 
2010-06-11, 1.0031, 1.0031, 0.31,        null,        ,        1,        封闭期,        封闭期,        ,        ,        null,        , 1.0031, 2010-06-11, 1.0031, 1.0031, 0.0, 
2010-06-18, 0.9823, 0.9823, -2.07,        null,        ,        1,        封闭期,        封闭期,        ,        ,        null,        , 0.98234, 2010-06-11, 1.0031, 1.0031, 2.07, 
2010-06-25, 0.9888, 0.9888, 0.66,        null,        ,        1,        封闭期,        封闭期,        ,        ,        null,        , 0.98882, 2010-06-11, 1.0031, 1.0031, 1.42, 
2010-06-30, 0.9572, 0.9572, -3.2,        null,        ,        1,        封闭期,        封闭期,        ,        ,        null,        , 0.95718, 2010-06-11, 1.0031, 1.0031, 4.58, 
2010-07-02, 0.9466, 0.9466, -1.11,        null,        ,        1,        封闭期,        封闭期,        ,        ,        null,        , 0.94656, 2010-06-11, 1.0031, 1.0031, 5.64, 
2010-07-09, 0.976, 0.976, 3.11,        null,        ,        1,        封闭期,        封闭期,        ,        ,        null,        , 0.976, 2010-06-11, 1.0031, 1.0031, 2.7, 
2010-07-16, 0.9662, 0.9662, -1.0,        null,        ,        1,        封闭期,        封闭期,        ,        ,        null,        , 0.96624, 2010-06-11, 1.0031, 1.0031, 3.67, 
2010-07-23, 0.9955, 0.9955, 3.03,        null,        ,        1,        封闭期,        封闭期,        ,        ,        null,        , 0.99552, 2010-06-11, 1.0031, 1.0031, 0.76, 
2010-07-30, 1.0144, 1.0144, 1.9,        null,        ,        1,        封闭期,        封闭期,        ,        ,        null,        , 1.01443, 2010-07-30, 1.0144, 1.0144, 0.0, 
2010-08-06, 1.0305, 1.0305, 1.59,        null,        ,        1,        封闭期,        封闭期,        ,        ,        null,        , 1.03056, 2010-08-06, 1.0305, 1.0305, 0.0, 
2010-08-13, 1.0295, 1.0295, -0.1,        null,        ,        1,        封闭期,        封闭期,        ,        ,        null,        , 1.02953, 2010-08-06, 1.0305, 1.0305, 0.1, 
2010-08-20, 1.028, 1.028, -0.15,        null,        ,        1,        封闭期,        封闭期,        ,        ,        null,        , 1.02799, 2010-08-06, 1.0305, 1.0305, 0.25, 
2010-08-27, 1.0368, 1.0368, 0.86,        null,        ,        1,        封闭期,        封闭期,        ,        ,        null,        , 1.03683, 2010-08-27, 1.0368, 1.0368, 0.0, 
