FSRQ, DWJZ, LJJZ, JZZZL, SDATE, ACTUALSYI, NAVTYPE, SGZT, SHZT, FHFCZ, FHFCBZ, DTYPE, FHSP, FQJZ, preHighFSRQ, preHighDWJZ, preHighLJJZ, withdraw, 
2017-06-07, 1.0, 1.0, 0.0,        null,        ,        1,        封闭期,        封闭期,        ,        ,        null,        , 1.0, 2017-06-07, 1.0, 1.0, 0.0, 
2017-06-09, 1.0, 1.0, 0.0,        null,        ,        1,        封闭期,        封闭期,        ,        ,        null,        , 1.0, 2017-06-07, 1.0, 1.0, 0.0, 
2017-06-16, 1.001, 1.001, 0.0,        null,        ,        1,        封闭期,        封闭期,        ,        ,        null,        , 1.001, 2017-06-16, 1.001, 1.001, 0.0, 
2017-06-23, 1.001, 1.001, 0.0,        null,        ,        1,        封闭期,        封闭期,        ,        ,        null,        , 1.001, 2017-06-16, 1.001, 1.001, 0.0, 
2017-06-30, 1.002, 1.002, 0.0,        null,        ,        1,        封闭期,        封闭期,        ,        ,        null,        , 1.002, 2017-06-30, 1.002, 1.002, 0.0, 
2017-07-06, 1.002, 1.002, 0.0,        null,        ,        1,        封闭期,        封闭期,        ,        ,        null,        , 1.002, 2017-06-30, 1.002, 1.002, 0.0, 
2017-07-07, 1.003, 1.003, 0.1,        null,        ,        1,        开放申购,        开放赎回,        ,        ,        null,        , 1.003, 2017-07-07, 1.003, 1.003, 0.0, 
2017-07-10, 1.006, 1.006, 0.3,        null,        ,        1,        开放申购,        开放赎回,        ,        ,        null,        , 1.006, 2017-07-10, 1.006, 1.006, 0.0, 
2017-07-11, 1.001, 1.001, -0.5,        null,        ,        1,        开放申购,        开放赎回,        ,        ,        null,        , 1.001, 2017-07-10, 1.006, 1.006, 0.5, 
2017-07-12, 1.015, 1.015, 1.4,        null,        ,        1,        开放申购,        开放赎回,        ,        ,        null,        , 1.015, 2017-07-12, 1.015, 1.015, 0.0, 
2017-07-13, 1.012, 1.012, -0.3,        null,        ,        1,        开放申购,        开放赎回,        ,        ,        null,        , 1.012, 2017-07-12, 1.015, 1.015, 0.3, 
2017-07-14, 1.019, 1.019, 0.69,        null,        ,        1,        开放申购,        开放赎回,        ,        ,        null,        , 1.019, 2017-07-14, 1.019, 1.019, 0.0, 
2017-07-17, 1.004, 1.004, -1.47,        null,        ,        1,        开放申购,        开放赎回,        ,        ,        null,        , 1.004, 2017-07-14, 1.019, 1.019, 1.47, 
2017-07-18, 1.007, 1.007, 0.3,        null,        ,        1,        开放申购,        开放赎回,        ,        ,        null,        , 1.007, 2017-07-14, 1.019, 1.019, 1.18, 
2017-07-19, 1.019, 1.019, 1.19,        null,        ,        1,        开放申购,        开放赎回,        ,        ,        null,        , 1.019, 2017-07-14, 1.019, 1.019, 0.0, 
2017-07-20, 1.032, 1.032, 1.28,        null,        ,        1,        开放申购,        开放赎回,        ,        ,        null,        , 1.032, 2017-07-20, 1.032, 1.032, 0.0, 
2017-07-21, 1.041, 1.041, 0.87,        null,        ,        1,        开放申购,        开放赎回,        ,        ,        null,        , 1.041, 2017-07-21, 1.041, 1.041, 0.0, 
2017-07-24, 1.021, 1.021, -1.92,        null,        ,        1,        开放申购,        开放赎回,        ,        ,        null,        , 1.021, 2017-07-21, 1.041, 1.041, 1.92, 
2017-07-25, 1.018, 1.018, -0.29,        null,        ,        1,        开放申购,        开放赎回,        ,        ,        null,        , 1.018, 2017-07-21, 1.041, 1.041, 2.21, 
2017-07-26, 1.019, 1.019, 0.1,        null,        ,        1,        开放申购,        开放赎回,        ,        ,        null,        , 1.019, 2017-07-21, 1.041, 1.041, 2.11, 
2017-07-27, 1.009, 1.009, -0.98,        null,        ,        1,        开放申购,        开放赎回,        ,        ,        null,        , 1.009, 2017-07-21, 1.041, 1.041, 3.07, 
2017-07-28, 1.036, 1.036, 2.68,        null,        ,        1,        开放申购,        开放赎回,        ,        ,        null,        , 1.036, 2017-07-21, 1.041, 1.041, 0.48, 
2017-07-31, 1.055, 1.055, 1.83,        null,        ,        1,        开放申购,        开放赎回,        ,        ,        null,        , 1.055, 2017-07-31, 1.055, 1.055, 0.0, 
