FSRQ, DWJZ, LJJZ, JZZZL, SDATE, ACTUALSYI, NAVTYPE, SGZT, SHZT, FHFCZ, FHFCBZ, DTYPE, FHSP, FQJZ, preHighFSRQ, preHighDWJZ, preHighLJJZ, withdraw, 
2018-12-05, 1.0, 1.0, 0.0,      null,      ,      1,      封闭期,      封闭期,      ,      ,      null,      , 1.0, 2018-12-05, 1.0, 1.0, 0.0, 
2018-12-07, 0.9984, 0.9984, 0.0,      null,      ,      1,      封闭期,      封闭期,      ,      ,      null,      , 0.9984, 2018-12-05, 1.0, 1.0, 0.16, 
2018-12-14, 1.0009, 1.0009, 0.0,      null,      ,      1,      封闭期,      封闭期,      ,      ,      null,      , 1.0009, 2018-12-14, 1.0009, 1.0009, 0.0, 
2018-12-21, 0.9729, 0.9729, 0.0,      null,      ,      1,      封闭期,      封闭期,      ,      ,      null,      , 0.9729, 2018-12-14, 1.0009, 1.0009, 2.8, 
2018-12-28, 0.9595, 0.9595, 0.0,      null,      ,      1,      封闭期,      封闭期,      ,      ,      null,      , 0.9595, 2018-12-14, 1.0009, 1.0009, 4.14, 
2018-12-31, 0.9595, 0.9595, 0.0,      null,      ,      0,      封闭期,      封闭期,      ,      ,      null,      , 0.9595, 2018-12-14, 1.0009, 1.0009, 4.14, 
2019-01-04, 0.9501, 0.9501, 0.0,      null,      ,      1,      封闭期,      封闭期,      ,      ,      null,      , 0.9501, 2018-12-14, 1.0009, 1.0009, 5.08, 
2019-01-11, 0.9736, 0.9736, 0.0,      null,      ,      1,      封闭期,      封闭期,      ,      ,      null,      , 0.9736, 2018-12-14, 1.0009, 1.0009, 2.73, 
2019-01-18, 0.9875, 0.9875, 0.0,      null,      ,      1,      封闭期,      封闭期,      ,      ,      null,      , 0.9875, 2018-12-14, 1.0009, 1.0009, 1.34, 
2019-01-25, 0.9955, 0.9955, 0.0,      null,      ,      1,      封闭期,      封闭期,      ,      ,      null,      , 0.9955, 2018-12-14, 1.0009, 1.0009, 0.54, 
2019-02-01, 1.008, 1.008, 0.0,      null,      ,      1,      封闭期,      封闭期,      ,      ,      null,      , 1.008, 2019-02-01, 1.008, 1.008, 0.0, 
